Disease,Cause
fever,"**1. Infection:**

* Bacterial infections (e.g., pneumonia, urinary tract infection, sepsis)
* Viral infections (e.g., influenza, COVID-19, common cold)
* Fungal infections (e.g., candidiasis, aspergillosis)


**2. Inflammation:**

* Tissue damage (e.g., burns, surgery, trauma)
* Autoimmune disorders (e.g., lupus, rheumatoid arthritis)
* Chronic diseases (e.g., arthritis, kidney disease)


**3. Fever-causing substances:**

* Medications (e.g., aspirin, ibuprofen, antibiotics)
* Vaccine reactions
* Alcohol withdrawal


**4. Neurologic disorders:**

* Meningitis
* Encephalitis
* Stroke


**5. Other causes:**

* Heat exposure
* Emotional stress
* Dehydration
* Sleep deprivation
* Certain medical conditions (e.g., hyperthyroidism, thyroid problems)"
fibromyalgia,"The exact causes of fibromyalgia remain unknown, but researchers believe it is likely a combination of factors, including:

**Genetic factors:**

* Strong family history of fibromyalgia suggests a genetic predisposition.
* Certain genes associated with pain processing and neurological function may play a role.


**Central nervous system abnormalities:**

* Changes in brain architecture and chemical neurotransmitters involved in pain perception.
* Increased activity in brain regions associated with pain and decreased activity in areas associated with pain modulation.


**Immune system dysfunction:**

* Some studies suggest abnormalities in the immune system's response, potentially contributing to inflammation and pain.


**Neurotransmitter abnormalities:**

* Imbalances in neurotransmitters like serotonin, norepinephrine, and glutamate, which influence mood, sleep, and pain sensation.


**Physical factors:**

* Trauma, injury, or surgery can trigger fibromyalgia in susceptible individuals.
* Poor sleep quality, physical exertion, and temperature changes can exacerbate symptoms.


**Psychological factors:**

* Psychological stress, emotional trauma, and negative life events can influence the development or progression of fibromyalgia.


**Other potential factors:**

* Alterations in gut microbiome composition
* Changes in barometric pressure and sleep cycles
* Exposure to certain medications
* Unidentified infections or toxins"
gallstones,"**1. Genetic factors:**

* A family history of gallstones increases the risk.
* Genetic alterations in genes involved in bile acid synthesis and transport.


**2. Diet:**
* A diet high in saturated fats, cholesterol, and red meat.
* Low fiber intake, leading to increased cholesterol saturation in bile.


**3. Weight:**
* Obesity and weight gain are associated with an increased risk of gallstones.


**4. Age:**
* Risk increases with age, most commonly occurring between 40-60 years old.


**5. Gender:**
* Women are slightly more likely to develop gallstones than men.


**6. Bile duct obstruction:**
* Narrowing or obstruction of the bile duct by tumors, stones, or inflammation can lead to gallstone formation.


**7. Chronic diseases:**
* Diabetes, inflammatory bowel disease, and celiac disease have been linked to an increased risk of gallstones.


**8. Lifestyle factors:**
* Alcohol abuse and smoking can contribute to gallstone formation.


**9. Postpartum period:**
* Women are more likely to develop gallstones after childbirth due to hormonal changes.


**10. Certain medical procedures:**
* Some medical procedures, such as cholecystectomy (gallbladder removal), can trigger the formation of gallstones."
GERD,"**1. Acid-related factors:**

* Increased acid production in the stomach
* Reduced production of protective mucous in the esophagus
* Hiatal hernia, allowing acid to bypass the valve between the stomach and esophagus


**2. Muscle and valve abnormalities:**

* Weak or damaged lower esophageal sphincter muscle (LESM), which acts as a valve between the stomach and esophagus
* Increased stomach acid production can also weaken the LESM
* Other structural abnormalities in the esophagus or stomach


**3. Lifestyle and diet:**

* Eating large or fatty meals
* Eating foods that trigger acid production, such as caffeine, alcohol, and spicy foods
* Drinking soda or caffeine right before bedtime
* Being overweight or obese
* Smoking


**4. Medical conditions:**

* Zollinger-Ellison syndrome: an autoimmune disease that causes excessive acid production in the stomach
* Peptic ulcer disease
* Surgery to the stomach or esophagus


**5. Other factors:**

* Female gender (women are more likely to develop GERD)
* Age (older adults are more likely to have GERD)
* Genetics
* Psychological factors, such as stress and anxiety"
heart attack,"**1. Fatty plaque buildup (atherosclerosis)**

* Accumulation of plaque made up of cholesterol, fat, calcium, and white blood cells narrows blood vessels, restricting blood flow to the heart.


**2. Abnormal heart rhythms (arrhythmias)**

* Irregular heartbeats can disrupt blood flow to the heart, causing damage.


**3. Blood clots**

* Clots blocking blood flow to the heart, such as a blood clot in a narrowed artery.


**4. Narrowing of the coronary arteries**

* Hardening and narrowing of the arteries supplying blood to the heart.


**5. Cholesterol abnormalities**

* High levels of low-density lipoprotein (LDL) cholesterol and low levels of high-density lipoprotein (HDL) cholesterol in the bloodstream contribute to plaque buildup.


**6. Smoking**

* Damages blood vessels and increases the risk of blood clots.


**7. High blood pressure**

* Increases the risk of plaque rupture and blood clot formation.


**8. High cholesterol**

* Raises the risk of fatty plaque buildup.


**9. Overweight and obesity**

* Associated with increased inflammation and plaque buildup.


**10. Diabetes**

* Disrupts blood flow, promotes inflammation, and increases the chances of blood clots."
hemorrhoids,"**1. Chronic diarrhea or constipation:**
- Persistent straining during bowel movements can put pressure on the veins in the anal area.


**2. High-pressure in the abdomen:**
- Conditions like obesity, pregnancy, or portal hypertension can increase abdominal pressure, putting pressure on the veins in the rectum and anal canal.


**3. Prolonged sitting:**
- Sitting for long periods can put pressure on the anal veins and contribute to hemorrhoids.


**4. Straining during childbirth:**
- The force of labor can damage the blood vessels in the anal area, leading to hemorrhoids.


**5. Anal intercourse:**
- Rough or vigorous sexual intercourse can damage the anal tissue and blood vessels, leading to hemorrhoids.


**6. Chronic coughing:**
- Persistent coughing can put strain on the abdominal cavity and contribute to hemorrhoids.


**7. Obesity:**
- Excess weight can put additional pressure on the anal veins.


**8. Increased age:**
- The veins in the anal area naturally become more fragile with age, making people more likely to develop hemorrhoids.


**9. Inflammatory diseases of the anal canal:**
- Conditions like inflammatory bowel disease can cause inflammation and swelling in the anal area, which can contribute to hemorrhoids.


**10. Anal trauma:**
- Any injury to the anal area, such as a haemorrhoid or fissure, can also lead to the development of hemorrho"
hepatitis A,"**Main causes of hepatitis A:**

**1. Faecal-oral transmission:**
- Contact with contaminated food or water
- Person-to-person contact with an infected person through contaminated food or water


**2. Consumption of contaminated food:**
- Eating raw or undercooked shellfish or other foods contaminated with the virus
- Consuming contaminated water from a private well or from a source with a broken sewage system


**3. Contact with infected blood or bodily fluids:**
- Needle stick or other injury with contaminated blood
- Contact with contaminated blood during medical procedures


**4. Travel to areas with high endemicity:**
- Exposure to contaminated water or food in areas where hepatitis A is endemic


**5. Sexual contact with an infected person:**
- Sexual fluids from an infected person can transmit the virus"
hepatitis B,"**1. Viral infection:**

* Hepatitis B virus (HBV) infection is the primary cause of viral hepatitis.
* The virus is spread through contact with infected blood or bodily fluids.


**2. Autoimmune disorders:**

* In some cases, the body's immune system can mistakenly attack the liver, leading to hepatitis.


**3. Alcohol abuse:**

* Excessive alcohol consumption can damage the liver and cause inflammation, mimicking the symptoms of hepatitis.


**4. Fatty liver disease:**

* Certain medical conditions, such as non-alcoholic fatty liver disease (NAFLD) and alcoholic fatty liver disease, can also cause inflammation and damage in the liver.


**5. Medications:**

* Some medications, such as isoniazid and amiodarone, can side-effect with liver inflammation.


**6. Other infections:**

* Some bacterial, viral, and fungal infections can also cause hepatitis.


**7. Inherited disorders:**

* A rare genetic disorder called alpha-1 antitrypsin deficiency can increase the risk of liver damage and inflammation."
hepatitis C,"**Main causes of hepatitis C:**

**1. Viral infection:**

* Chronic infection with the hepatitis C virus (HCV) is the primary cause of hepatitis C. 


**2. Bloodborne exposure:**

* Contact with infected blood through:
    * Needle stick injuries
    * Percutaneous exposure (skin or mucous membrane contact with infected blood)
    * Sexual contact with an infected person


**3. Mother-to-child transmission:**

* From an infected mother to her child during childbirth or breastfeeding.


**4. Medical procedures:**

* Accidental exposure to infected blood during medical procedures or contaminated surgical instruments.


**5. Mixed infections:**

* Sometimes, hepatitis C can coexist with other liver diseases, such as:
    * Alcohol-induced liver disease
    * Autoimmune hepatitis
    * Fatty liver disease"
hernia,"**1. Increased abdominal pressure:**

- Chronic coughing
- Excessive weight gain
- Pregnancy
- Straining during bowel movements
- High-pressure abdominal contents (ascites, tumors)


**2. Weakened abdominal wall:**

- Previous abdominal surgery
- Hereditary weakness in the abdominal wall muscles and connective tissue
- Severe abdominal trauma
- Chronic inflammation


**3. Organ abnormalities:**

- Large abdominal tumors
- Ovarian cysts in women
- Uterine fibroids
- Polyps in the colon or small intestine


**4. Lifestyle factors:**

- Chronic coughing
- Persistent abdominal straining
- High-fat diet
- Diving


**5. Other causes:**

- Incision site hernia during abdominal surgery
- Iatrogenic hernia (caused by medical procedures)"
HIV,"**Main causes of HIV:**

**1. Human T-cell lymphotropic virus (HIV)**

* HIV is a retrovirus that targets specific types of white blood cells, namely CD4+ T cells.
* The virus uses the host's cellular machinery to multiply, leading to the destruction of T cells.


**2. Human behavior:**

* **Unprotected sexual contact:** Sex with an infected person without a condom.
* **Sharing needles or other drug paraphernalia:** Contact with blood through needles or other contaminated paraphernalia.
* **Mother-to-child transmission:** From an infected mother to her child during pregnancy, birth, or breastfeeding.


**3. Genetic factors:**

* Certain genetic variations may influence the severity and progression of HIV infection.


**4. Environmental factors:**

* Exposure to certain chemicals or toxins can modulate the immune response and make people more susceptible to HIV.


**5. Co-infections:**

* Other infections or diseases can weaken the immune system and make people more vulnerable to HIV.


**6. Maternal factors:**

* Certain maternal factors, such as pre-existing infections or malnutrition, can increase the risk of HIV transmission to the fetus."
hives,"**1. Allergic reactions:**

* Pollen allergies (hay fever, dust mites)
* Food allergies (e.g., peanuts, shellfish)
* Medications (e.g., penicillin, ibuprofen)
* Insect stings (e.g., bees, wasps, mosquitoes)


**2. Immune-related causes:**

* Autoimmune disorders (e.g., lupus, rheumatoid arthritis)
* Sarcoidosis (a chronic inflammatory disease)


**3. Environmental factors:**

* Cold temperatures
* Humidity
* Exposure to certain plants or chemicals


**4. Medical conditions:**

* Thyroid disorders
* Skin infections
* Hives associated with alcohol consumption


**5. Psychogenic causes:**

* Emotional stress
* Anxiety
* Psychological trauma


**6. Other possible causes:**

* Side effects of certain medications
* Sun exposure
* Skin injuries or infections"
kidney stones,"**1. Metabolic abnormalities:**

* Hyperoxaluria (excessive urine oxalate)
* Hyperuricemia (high levels of uric acid in urine)
* Hypercalcemia (high levels of calcium in urine)
* Hypocitraturia (low levels of citrate in urine)


**2. Dehydration:**

* Inadequate fluid intake leading to concentrated urine and increased risk of stone formation.


**3. Diet:**

* Consuming foods rich in oxalate, uric acid, and calcium can contribute to stone formation.
* High-protein and high-sodium diets can also increase the risk of stones.


**4. Medical conditions:**

* Urinary tract infections (UTIs)
* Kidney infections
* Certain medical treatments
* Polycystic kidney disease (PKD)


**5. Lifestyle factors:**

* Caffeine and alcohol consumption
* Sitting for long periods
* Being overweight or obese


**6. Genetic factors:**

* Certain genes associated with stone formation can increase the risk.


**7. Other factors:**

* Changes in urine pH
* Medical procedures involving the kidneys
* Travel and altitude changes"
obesity,"**1. Genetic Factors:**

* Predisposition to storing excess fat
* Changes in gene expression influencing appetite and metabolism
* Genetic predisposition to overeating


**2. Environmental Factors:**

* Food availability and accessibility
* High-calorie, sugary foods readily available
* Stress, emotional eating as a coping mechanism
* Exposure to tobacco smoke


**3. Behavioral Factors:**

* Overeating and lack of physical activity
* Emotional eating and stress
* Poor eating habits and food choices
* Difficulty regulating portion sizes


**4. Hormonal Factors:**

* Changes in hormone levels, such as ghrelin (hunger hormone) and leptin (satiety hormone)
* Hypothyroidism, affecting metabolism and weight regulation


**5. Medical Causes:**

* Certain medications can promote weight gain
* Medical conditions like hypothyroidism and Cushing's syndrome


**6. Socioeconomic Factors:**

* Access to healthcare and education on healthy eating
* Socioeconomic status and food deserts
* Cultural and social norms regarding body image


**7. Psychological Factors:**

* Low self-esteem and body image issues
* Emotional distress and eating as a coping mechanism
* Depression and anxiety


**8. Gut Health:**

* Imbalances in gut microbiota composition
* Gut inflammation affecting appetite and metabolism
* Leaky gut, allowing undigested food particles to enter bloodstream


**9. Sleep Quality:**

* Insufficient or poor-quality sleep can disrupt"
osteoarthritis,"**1. Age:**

* Cells in cartilage break down with age, leading to inflammation and pain.


**2. Joint injury:**

* Any injury to the joint, such as a fracture, dislocation, or torn ligament, can lead to osteoarthritis.


**3. Obesity:**

* Excess weight puts extra stress on the joints, accelerating cartilage breakdown.


**4. Genetics:**

* Having a close relative with osteoarthritis increases the risk.


**5. Work and lifestyle:**

* Repetitive motions, heavy lifting, and prolonged standing can strain the joints.


**6. Diet:**

* Consuming foods high in saturated fat and sugar can increase inflammation and damage cartilage.


**7. Medical conditions:**

* Certain medical conditions, such as thyroid problems and diabetes, can contribute to osteoarthritis.


**8. Inflammation:**

* Constant inflammation in the joints can damage cartilage and lead to pain and stiffness.


**9. Crystal accumulation:**

* In some people, crystals can form in the joints, causing severe pain.


**10. Other factors:**

* Smoking, alcohol abuse, and some medical devices can also contribute to osteoarthritis."
osteoporosis,"**1. Hormonal factors:**
- Decline in estrogen levels during menopause in women and castration in men
- Inadequate production of growth hormone
- Cushing's syndrome (overproduction of cortisol)
- Hypothyroidism (underproduction of thyroid hormone)


**2. Nutritional factors:**
- Inadequate calcium intake
- Low intake of vitamin D
- Diets high in processed foods and sugar


**3. Genetic factors:**
- Family history of osteoporosis
- Genetic variations in genes involved in bone metabolism


**4. Lifestyle factors:**
- Smoking
- Excessive alcohol consumption
- Inactivity and low physical activity
- Corticosteroid use


**5. Medical conditions:**
- Diabetes
- Kidney stones
- Infections of the urinary tract


**6. Other factors:**
- Radiation therapy to the bones
- Certain medications (such as steroids)
- Bone tumors
- Sleep disorders"
Parkinson's disease,"**1. Genetic factors:**

* Mutations in certain genes associated with dopamine production, protection, and cellular functioning.
* Family history increases the risk.


**2. Environmental factors:**

* Exposure to pesticides, such as paraquat and rotenone.
* Heavy metal exposure (mercury, lead).
* Smoking and alcohol consumption.


**3. Neurodegenerative mechanisms:**

* **Protein aggregation:** Misfolded alpha-synuclein protein forms toxic aggregates in the brain, leading to neuronal damage.
* **Neurotransmitter deficits:** Deficiencies in dopamine, acetylcholine, and norepinephrine contribute to motor symptoms.
* **Mitochondrial dysfunction:** Mitochondrial abnormalities, such as impaired energy production and increased free radical production, are implicated in the disease.


**4. Immune system abnormalities:**

* Activation of the immune system in the brain, specifically involving microglia (brain macrophages).
* Elevated levels of inflammatory markers in the cerebrospinal fluid.


**5. Lifestyle factors:**

* Diet and nutrition.
* Physical inactivity.
* Stress and psychological factors.


**6. Other potential causes:**

* Viral infections (e.g., herpes simplex virus)
* Head trauma
* Severe emotional stress"
psoriatic arthritis,"* **Genetics:** Genetic predisposition is strongly associated, with a strong family history increasing the risk.
* **Immune system dysfunction:** The immune system mistakenly attacks the skin and joints, leading to inflammation and tissue damage.
* **Environmental triggers:** Changes in weather, infections, and psychological stress can exacerbate the condition.
* **Hormonal imbalances:** Sex hormones and puberty can influence the symptoms.
* **Obesity:** Higher body mass index has been linked to an increased risk of psoriatic arthritis.
* **Metabolic factors:** Certain metabolic disorders and metabolic medications can play a role."
cirrhosis,"**1. Alcoholic cirrhosis:**

* Excessive alcohol consumption over time, leading to liver damage.
* Fat accumulation and inflammation in the liver.


**2. Fatty liver disease:**

* Unhealthy fat accumulation in the liver, leading to inflammation and damage.
* Metabolic disorders like obesity and insulin resistance.


**3. Hepatitis B and C:**

* Viral infections of the liver causing inflammation and damage.
* Long-term infection can lead to cirrhosis.


**4. Autoimmune liver diseases:**

* Immune system attacking the liver tissue, causing inflammation and damage.
* Includes diseases like rheumatoid arthritis and lupus.


**5. Bile duct obstruction:**

* Blockage of the bile ducts, preventing bile flow from the liver.
* Can be caused by stones, tumors, or infections.


**6. Non-alcoholic fatty liver disease (NAFLD):**

* Fat accumulation in the liver not caused by alcohol.
* Associated with obesity, metabolic syndrome, and insulin resistance.


**7. Chronic viral infections:**

* Epstein-Barr virus (EBV)
* Cytomegalovirus (CMV)


**8. Genetic factors:**

* Certain genes have been associated with an increased risk of cirrhosis.


**9. Other causes:**

* Liver trauma
* Drug-induced liver damage
* Infections like syphilis and tuberculosis
* Severe alcohol withdrawal"
delirium,"**1. Medical Causes:**

- Acute infections (pneumonia, urinary tract infection, sepsis)
- Metabolic disturbances (hyperglycemia, hypoglycemia, electrolyte imbalances)
- Postoperative state
- Medication side effects (antipsychotics, sedatives, narcotics)
- Delirium due to anesthesia
- Brain injury (stroke, head injury, concussion)


**2. Psychosocial Causes:**

- Anxiety
- Depression
- Posttraumatic stress disorder (PTSD)
- Sleep deprivation
- Alcohol withdrawal


**3. Sensory Causes:**

- Vision problems
- Hearing loss
- Pain


**4. Cognitive Causes:**

- Cognitive impairment (dementia, Alzheimer's disease)
- Acute cognitive deterioration


**5. Other Causes:**

- Sleep deprivation
- Dehydration
- Hypothermia
- Hypothyroidism
- Cocaine withdrawal"
epilepsy,"**1. Genetic factors:**

- Up to 60% of cases have a genetic basis.
- Mutations in specific genes associated with seizure disorders can increase the risk.


**2. Developmental abnormalities:**

- Hypothalamic dysfunction
- Corpus callosum abnormalities
- Meningomalacia (inflammation of the meninges)


**3. Structural abnormalities:**

- Brain abnormalities such as tumors, infections, and stroke.
- Craniospinal malformations


**4. Metabolic disorders:**

- Hypoglycemia
- Hypothyroidism
- Inborn errors of metabolism


**5. Post-partum period:**

- Seizures may occur in some women in the postnatal period due to hormonal changes.


**6. Infections:**

- Viral encephalitis (inflammation of the brain caused by a virus)
- Bacterial meningitis (inflammation of the membranes covering the brain and spinal cord)


**7. Other causes:**

- Traumatic brain injury
- Alcohol withdrawal
- Substance abuse
- Tumors in certain locations
- Neurodegenerative diseases such as Alzheimer's or Parkinson's"
heart failure,"**1. Cardiovascular Causes:**

* Coronary artery disease (heart attack)
* High blood pressure
* Heart valve disease
* Arrhythmias (irregular heartbeats)
* Cardiomyopathy (disease of the heart muscle)


**2. Obesity-Related Causes:**

* Excess weight
* Metabolic syndrome (high blood pressure, high cholesterol, and abnormal fat storage)


**3. Diabetes:**

* Persistent high blood sugar levels can damage blood vessels throughout the body, including those in the heart.


**4. Lifestyle Factors:**

* Tobacco use
* Excessive alcohol consumption
* Unhealthy diet
* Physical inactivity


**5. Other Medical Conditions:**

* Viral and bacterial infections
* Alcohol withdrawal
* Sleep apnea
* Pulmonary diseases


**6. Genetic Factors:**

* Some people are more likely to develop heart failure due to their genes.


**7. Family History:**

* A family history of heart failure increases the risk."
peptic ulcer,"**1. Lifestyle factors:**

- Diet high in fat, salt, and acid
- Excessive alcohol consumption
- Smoking
- Caffeine and aspirin intake


**2. Bacterial infection:**

- Helicobacter pylori (H. pylori) infection, which damages the protective lining of the stomach and duodenum


**3. Genetic factors:**

- Certain genes have been linked to an increased risk of peptic ulcer


**4. Medical conditions:**

- Zollinger-Ellison syndrome: an autoimmune disorder that affects the production of stomach acid
- Inflammation of the stomach or duodenum
- Use of certain medications: aspirin, non-steroidal anti-inflammatory drugs (NSAIDs), and steroids


**5. Physical factors:**

- Acid reflux: The flow of stomach acid into the esophagus
- Hiatal hernia: A condition where part of the stomach protrudes through an opening in the diaphragm


**6. Psychological factors:**

- Emotional stress can trigger acid release and contribute to peptic ulcers


**7. Other possible factors:**

- Emotional or physical trauma
- Denture use
- Pregnancy (due to hormonal changes)"
urinary tract infection (UTI),"**1. Bacterial infection:**

* Introduction of bacteria into the urinary tract through:
    * Sexual intercourse
    * Catheterization
    * Urinary tract instrumentation
    * Poor hygiene
* Most common bacteria: Escherichia coli (E. coli)

**2. Immune system malfunction:**

* Weakened immune system
* Changes in urinary tract anatomy
* Diabetes
* Pregnancy

**3. Changes in urinary tract flora:**

* Imbalance of bacteria in the urinary tract
* Use of broad-spectrum antibiotics
* Medical devices in the urinary tract

**4. Medical procedures:**

* Catheterization
* Ureteroscopy
* Cystoscopy

**5. Anatomical abnormalities:**

* Narrowed or obstructed urinary tract
* Diverticula (sacs in the urinary tract)
* Birth defects

**6. Sexual factors:**

* Sexual intercourse can introduce bacteria into the urinary tract
* Sexual practices that increase risk of trauma or infection

**7. Other factors:**

* Age (increased risk in young women and older adults)
* Sexual orientation
* Sexual activity in high-risk populations"
