disease,cause
hernia,"Hernias result from a combination of muscle weakness and strain, and they may develop rapidly or gradually depending on the underlying cause.

Some common causes of muscle weakness or strain that can contribute to the formation of a hernia include:

A congenital condition present from birth due to development in the womb
Aging
Injury or surgical damage
Strenuous physical activity or heavy lifting
Chronic coughing or chronic obstructive pulmonary disease (COPD)
Pregnancy, particularly multiple pregnancies
Constipation, leading to straining during bowel movements
Being overweight or obese
Ascites (fluid buildup in the abdomen)
Certain risk factors also increase the likelihood of developing a hernia, including:

Premature birth or low birth weight
Advanced age
Chronic coughing (due to repeated abdominal pressure)
Cystic fibrosis
Pregnancy
Chronic constipation
Obesity or being overweight
Smoking, which weakens connective tissue
A personal or family history of hernias"
HIV,"HIV is spread through certain body fluids from a person who has HIV. This can happen:

By having unprotected vaginal or anal sex with a person who has HIV. ""Unprotected"" means not using condoms or medicine to treat or prevent HIV. This is the most common way that it spreads.
By sharing drug needles.
Through contact with the blood of a person with HIV.
From mother to baby during pregnancy, childbirth, or breastfeeding."
hives,"When you have an allergic reaction to a substance, your body releases histamine and other chemicals into the blood. This causes itching, swelling, and other symptoms. Hives are a common reaction. People with other allergies, such as hay fever, often get hives.

Angioedema is swelling of the deeper tissue that sometimes occurs with hives. Like hives, angioedema can occur on any part of the body. When it occurs around the mouth or throat, the symptoms can be severe, including airway blockage.

Many substances can trigger hives, including:

Animal dander (especially cats)
Insect bites
Medicines
Pollen
Shellfish, fish, nuts, eggs, milk, and other foods"
kidney stones,"Genetic changes can increase the risk of developing kidney stones, often acting in combination with a variety of environmental and lifestyle factors. Most genes involved in the condition are important for transmitting chemical signals from outside cells to inside cells or transporting materials in and out of cells. These processes help regulate the levels of various materials within cells, including the minerals and compounds that make up kidney stones. Changes in these genes can alter the levels of these materials in cells, leading to an imbalance of minerals and compounds in urine. As a result, the likelihood of stone formation increases.

A key factor that contributes to the development of kidney stones is too little water in the body (dehydration). When a person is dehydrated, they excrete less water in their urine, so the urine becomes concentrated with minerals and compounds that can cluster to form stones. Eating certain foods, such as animal proteins or foods high in sodium, can increase the likelihood of developing stones. A diet deficient in calcium can increase levels of other substances that cause stone development in individuals who have a history of kidney stones. Additionally, people who take certain medications, such as diuretics, which help remove water and salt from the body through urine, or calcium antacids, which treat indigestion by neutralizing stomach acids, are more likely to develop kidney stones.

In most cases, kidney stones occur without any other health issues. However, some people develop kidney stones as part of another condition. About half of people who develop calcium stones have high levels of calcium in the urine (hypercalciuria). Hypercalciuria often runs in families. Some other health conditions that increase the risk of kidney stones include obesity, type 2 diabetes, inflammatory bowel disease (abnormal inflammation of the intestinal walls), gout (abnormal inflammation in the joints caused by high levels of uric acid in the blood), hyperparathyroidism (overactivity of the parathyroid glands), renal tubular acidosis (kidney dysfunction that leads to too much acid in the blood), and recurrent urinary tract infections."
obesity,"Taking in more calories than your body uses can lead to obesity. This is because your body stores unused calories as fat. Obesity can be caused by:

Eating more food than your body can use
Drinking too much alcohol
Not getting enough exercise
Many people with obesity who lose large amounts of weight and gain it back think it is their fault. They blame themselves for not having the willpower to keep the weight off. Many people regain more weight than they lost.

Today, we know that biology is a big reason why some people cannot keep the weight off. Some people who live in the same place and eat the same foods develop obesity, while others do not. Our bodies have a complex system to keep our weight at a healthy level. In some people, this system does not work as well as it should.

The way we eat when we are children can affect the way we eat as adults.

The way we eat over many years becomes a habit. It affects what we eat, when we eat, and how much we eat.

We may feel that we are surrounded by things that make it easy to overeat and hard to stay active.

Many people feel they do not have time to plan and make healthy meals.
Many people do not have ready access to healthy foods making it difficult to plan and make healthy meals.
More people today work desk jobs compared to more active jobs in the past.
People with little free time may have less time to exercise.
The term eating disorder means a group of medical conditions that have an unhealthy focus on eating, dieting, losing or gaining weight, and body image. A person may have obesity, follow an unhealthy diet, and have an eating disorder all at the same time.

Sometimes, medical problems or treatments cause or contribute to weight gain, including:

Underactive thyroid (hypothyroidism)
Medicines such as birth control pills, antidepressants, and antipsychotics
Other things that can cause weight gain are:

Quitting smoking -- Many people who quit smoking gain 4 to 10 pounds (lb) or 2 to 5 kilograms (kg) in the first 6 months after quitting.
Stress, anxiety, feeling sad, depression, or not sleeping well.
Menopause -- Women may gain 12 to 15 lb (5.5 to 7 kg) during menopause.
Pregnancy -- Women may not lose the weight they gained during pregnancy."
osteoarthritis,"Common variations that affect many genes, some of which are unidentified, contribute to the risk of developing osteoarthritis. The condition was once believed to be caused primarily by ""wear and tear"" damage to the joints over time. However, it is now thought to be mainly the result of the body's failed attempts to repair this damage. In healthy cartilage, there is a balance between buildup and breakdown of the tissue. This balance is lost in osteoarthritis, leading to cartilage damage and, over time, complete breakdown. Without the protection of the cartilage, bone damage occurs at the joint. In response, the body builds new bone, which leads to overgrowth and reduced mobility of the joints. In addition, the cartilage damage triggers an immune response, causing inflammation of other joint tissues and leading to further joint damage.

The majority of variations associated with osteoarthritis risk are thought to act by subtly changing the amount, timing, and location of gene activity (expression). The genes whose expression influences osteoarthritis risk are typically involved in the formation and maintenance of bone and cartilage. For example, some of these genes are involved in the development of cartilage; if the genes are not expressed in the right location, at the right time, or in the right amount due to genetic variations, the function of this tissue may be impaired and the risk of developing osteoarthritis may be increased.

In most cases, multiple genetic changes, each with a small effect, combine to increase the risk of developing the disorder. The genetic changes can also interact with environmental and lifestyle factors that are associated with osteoarthritis risk, such as obesity and activity that places excessive stress on the joints."
osteoporosis,"Osteoporosis is the most common type of bone disease.

Osteoporosis increases the risk for breaking a bone. About one half of all women over the age of 50 will have a fracture of the hip, wrist, or vertebra (bones of the spine) during their lifetime. Spine fractures are the most common.

Your body needs the minerals calcium and phosphate to make and keep healthy bones.

During your life, your body continues to both reabsorb old bone and create new bone.
As long as your body has a good balance of new and old bone, your bones stay healthy and strong.
Bone loss occurs when more old bone is reabsorbed than new bone is created.
Sometimes, bone loss occurs without any known cause. Other times, bone loss and thin bones run in families. In general, white, older women are the most likely to have bone loss.

Brittle, fragile bones can be caused by anything that makes your body reabsorb too much bone, or keeps your body from making enough new bone. As you age, your body may reabsorb calcium and phosphate from your bones instead of keeping these minerals in your bones. This makes your bones weaker.

A major risk is not consuming enough calcium to build new bone tissue. It is important to eat/drink enough high-calcium foods. You also need vitamin D, because it helps your body absorb calcium. Your bones may become brittle and more likely to fracture if:

If you do not eat enough food with calcium and vitamin D
Your body does not absorb enough calcium and vitamin D from your food, such as after gastric bypass surgery or due to other medical conditions
Other causes of bone loss include:

A decrease in estrogen in women at the time of menopause and a decrease in testosterone in men as they age
Being confined to a bed due to a prolonged illness (mostly affects bones in children)
Having certain medical conditions that cause increased inflammation in the body such as Crohn disease or rheumatoid arthritis
Taking certain medicines, such as certain seizure medicines, hormone treatments for prostate or breast cancer, and steroid medicines taken for more than 3 months"
Parkinson's disease,"Nerve cells use a brain chemical called dopamine to help control muscle movement. With Parkinson disease, the brain cells that make dopamine slowly die. Without enough dopamine, the cells that control movement can't send proper messages to the muscles. This makes it hard to control the muscles. Slowly, over time, this damage gets worse. No one knows exactly why these brain cells waste away.

Parkinson disease most often develops after age 60. It is one of the most common nervous system problems in older adults.

The disease affects men more often than women, although women also develop the disease. Parkinson disease sometimes runs in families.
The disease can occur in younger adults. In such cases, it is often due to the person's genes.
Parkinson disease is rare in children."
psoriatic arthritis,"The specific cause of psoriatic arthritis is unknown. Its signs and symptoms result from excessive inflammation in and around the joints. Inflammation occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and facilitate tissue repair. When this has been accomplished, the body ordinarily stops the inflammatory response to prevent damage to its own cells and tissues. Mechanical stress on the joints, such as occurs in movement, may result in an excessive inflammatory response in people with psoriatic arthritis. The reasons for this excessive inflammatory response are unclear.

Researchers have identified changes in several genes that may influence the risk of developing psoriatic arthritis. The most well-studied of these genes belong to a family of genes called the human leukocyte antigen (HLA) complex. The HLA complex helps the immune system distinguish the body's own proteins from proteins made by foreign invaders (such as viruses and bacteria). Each HLA gene has many different normal variations, allowing each person's immune system to react to a wide range of foreign proteins. Variations of several HLA genes seem to affect the risk of developing psoriatic arthritis, as well as the type, severity, and progression of the condition.

Variations in several other genes have also been associated with psoriatic arthritis. Many of these genes are thought to play roles in immune system function. However, variations in these genes probably make only a small contribution to the overall risk of developing psoriatic arthritis. Other genetic and environmental factors are also likely to influence a person's chances of developing this disorder."
cirrhosis,"Cirrhosis is most often the end result of chronic liver damage caused by long-term (chronic) liver disease. Common causes of chronic liver disease in the United States are:

Hepatitis B or hepatitis C infection.
Alcohol overuse.
Buildup of fat in the liver that is NOT caused by drinking too much alcohol (called metabolic associated steatotic liver disease [MASLD] or metabolic associated steatohepatitis [MASH]). It is closely related to being overweight, having high blood pressure, diabetes or pre-diabetes, and high cholesterol.
Less common causes of cirrhosis include:

When immune cells mistake the liver's normal cells for harmful invaders and attack them, called autoimmune hepatitis (AH)
Bile duct disorders
Some medicines
Liver diseases passed down in families"
delirium,"Delirium is most often caused by physical or mental illness and is usually temporary and reversible. Many disorders may cause delirium. Often, these disorders do not allow the brain to get oxygen or other substances. They may also cause dangerous chemicals (toxins) to build up in the brain. Delirium is common in the intensive care unit (ICU), especially in older adults.

Causes include:

Alcohol or medicine overdose or withdrawal
Drug use or overdose, including being sedated in the ICU
Electrolyte or other body chemical disturbances
Infections such as urinary tract infections, pneumonia, or meningitis
Severe lack of sleep
Poisons
General anesthesia and surgery
Autoimmune disease"
epilepsy,"In about half of all cases, the cause of epilepsy is unknown. For the other half, the condition may be linked to various factors, including:

Genetic factors: Some forms of epilepsy are hereditary, suggesting a genetic component. Researchers have identified specific genes associated with certain types of epilepsy. However, some individuals may have genetic epilepsy that is not inherited, as genetic mutations can occur spontaneously. Typically, genes are only part of the equation, with environmental factors potentially triggering seizures in genetically predisposed individuals.

Head trauma: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.

Brain-related factors: Brain tumors and abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy. In adults over 35, strokes are a leading cause.

Infections: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.

Prenatal injury: The developing brain of a fetus is particularly vulnerable to damage from maternal infections, poor nutrition, or oxygen deprivation, potentially leading to epilepsy or cerebral palsy.

Developmental conditions: Epilepsy often occurs alongside developmental disorders. For example, individuals with autism are at a higher risk of epilepsy. Similarly, epilepsy is more common in those with ADHD or other developmental conditions, likely due to shared genetic factors.

Seizure Triggers
While triggers do not cause epilepsy, they can provoke seizures in those with the condition. Not everyone with epilepsy has consistent triggers, but many can identify factors that increase their likelihood of experiencing a seizure. Common triggers include:

Alcohol consumption.
Flashing lights.
Use of illicit drugs.
Missing doses or taking incorrect doses of antiseizure medication.
Sleep deprivation.
Hormonal changes, such as during the menstrual cycle.
Stress.
Dehydration.
Skipped meals.
Illness.
Understanding these factors can help manage and reduce the risk of seizures."
heart failure,"Heart failure is most often a long-term (chronic) condition, but it may come on suddenly. It can be caused by many different heart problems.

The condition may affect only the right side or only the left side of the heart. Both sides of the heart also can be involved.

Heart failure is present when:

Your heart muscle cannot contract very well. This is called systolic heart failure, or heart failure with a reduced ejection fraction (HFrEF).
Your heart muscle is stiff and does not fill up with blood easily even though pumping power is normal. This is called diastolic heart failure, or heart failure with a preserved ejection fraction (HFpEF).
As the heart's pumping becomes less effective, blood may back up in other areas of the body. Fluid may build up in the lungs, liver, gastrointestinal tract, and the arms and legs. This is called congestive heart failure or, more simply, just heart failure.

Other diseases that can cause or contribute to heart failure:

Amyloidosis
Emphysema
Overactive thyroid
Sarcoidosis
Severe anemia
Too much iron in the body (usually due to hereditary hemochromatosis)
Underactive thyroid

The most common causes of heart failure are:

Coronary artery disease (CAD), a narrowing or blockage of the arteries that supply blood and oxygen to the heart. This can weaken the heart muscle over time or suddenly.
High blood pressure that is not well controlled, leading to problems with stiffness, or eventually leading to muscle weakening.

Other heart problems that may cause heart failure are:

Congenital heart disease
Heart attack (when coronary artery disease results in a sudden blockage of a heart artery)
Heart valves that are leaky or narrowed
Infection that weakens the heart muscle
Some types of abnormal heart rhythms (arrhythmias)"
peptic ulcer,"Normally, the lining of the stomach and small intestines can protect itself against strong stomach acids. But if the lining breaks down, the result may be:

Swollen and inflamed tissue (gastritis)
An ulcer

Most ulcers occur in the first, inner surface, layer of the inner lining. A hole in the stomach or duodenum is called a perforation. This is a medical emergency.

The most common cause of ulcers is infection of the stomach by bacteria called Helicobacter pylori (H pylori). Most people with peptic ulcers have these bacteria living in their digestive tract. Yet, many people who have these bacteria in their stomach do not develop an ulcer.

The following factors raise your risk for peptic ulcers:

Drinking too much alcohol
Regular use of aspirin, ibuprofen, naproxen, or other nonsteroidal anti-inflammatory drugs (NSAIDs)
Smoking cigarettes or chewing tobacco
Being very ill, such as being on a breathing machine
Radiation treatments
Stress
A rare condition, called Zollinger-Ellison syndrome, causes the stomach to produce too much acid, leading to stomach and duodenal ulcers."
urinary tract infection (UTI),"Anything that impairs bladder emptying or irritates the urinary tract can contribute to the development of a urinary tract infection (UTI). Several factors can increase the risk of experiencing a UTI, including:

Age: Older adults are more prone to UTIs.
Reduced mobility: Prolonged bed rest or recovery after surgery can increase the risk.
Kidney stones: These can obstruct urine flow, promoting bacterial growth.
History of UTIs: A previous UTI can raise the likelihood of recurrence.
Urinary tract obstructions or blockages, such as:
Enlarged prostate.
Kidney stones.
Certain types of cancer.
Prolonged use of urinary catheters: This can facilitate the entry of bacteria into the bladder.
Diabetes: High blood sugar levels can promote bacterial growth.
Pregnancy: Hormonal and physical changes during pregnancy can increase susceptibility.
Congenital abnormalities: Structural abnormalities of the urinary tract present from birth can impair urine flow.
Weakened immune system: Conditions that compromise the immune system make it harder to fight infections.
Recognizing these risk factors can help in prevention and management of UTIs."
melanoma,"Melanoma is caused by changes (mutations) in skin cells called melanocytes. These cells make a skin color pigment called melanin. Melanin is responsible for skin and hair color.

Melanoma can appear on normal skin. Sometimes it can develop from moles. Moles that are present at birth may develop into melanomas. Larger moles that are present at birth may be at higher risk for developing melanoma.

There are four major types of melanoma:

Superficial spreading melanoma is the most common type. It is usually flat and irregular in shape and color, with different shades of black and brown. It is most common in fair skin people.
Nodular melanoma usually starts as a raised area that is dark blackish-blue or bluish-red. Some do not have any color (amelanotic melanoma).
Lentigo maligna melanoma usually occurs in older people. It is most common in sun-damaged skin on the face, neck, and arms. The abnormal skin areas are usually large, flat, and tan with areas of brown.
Acral lentiginous melanoma is the least common form. It usually occurs on the palms, soles, or under the nails.

The risk for developing melanoma increases with age. However, more and more young people are developing it.

You are more likely to develop melanoma if you:

Have fair skin, blue or green eyes, or red or blond hair
Live in sunny climates or at high altitudes
Spent a lot of time in high levels of strong sunlight because of a job or other activities
Have had one or more blistering sunburns during childhood
Use tanning devices, such as tanning beds
Other risk factors include:

Having close relatives with melanoma
Certain types of moles (atypical or dysplastic) or many birthmarks
Weakened immune system due to disease or medicines
"
