disease,cause
fever,"Fever occurs when a part of the brain called the hypothalamus shifts the set point of your normal body temperature upward. When this happens, you may feel chilled and add layers of clothing, or you may start shivering to generate more body heat. This eventually results in a higher body temperature.

There are numerous different conditions that can trigger a fever. Some possible causes include:

infections, including the flu and pneumonia
some immunizations, such as diphtheria or tetanus (in children)
teething (in infants)
some inflammatory diseases, including rheumatoid arthritis (RA) and Crohn’s disease
blood clots
extreme sunburn
food poisoning
some medications, including antibiotics
Depending on the cause of the fever, additional symptoms may include:

sweating
shivering
headache
muscle aches
loss of appetite
dehydration
general weakness"
fibromyalgia,"Healthcare professionals and researchers do not know what causes fibromyalgia.

According to the latest research, the cause appears to involve a genetic disposition complemented by one or more triggers (such as infection, trauma, or stress).

Experts do not fully understand what causes the chronic widespread nature of fibromyalgia pain, either.

One theory is that the brain lowers the pain threshold. Sensations that were not painful before become very painful over time.

Another theory is that the brain and nerves may misinterpret or overreact to normal pain signals. They become more sensitive, to the point where they cause unnecessary or exaggerated pain. This may be due to a chemical imbalance in the brain or an abnormality in the dorsal root ganglion, which is a cluster of neurons in the spine.

Genes
Fibromyalgia often runs in families. If you have a family member with this condition, you’re at a higher risk for developing it.

Researchers think certain gene mutations may play a role. They’ve identified a few possible genes that affect the transmission of chemical pain signals between nerve cells.

Infections
A past illness could trigger fibromyalgia or make its symptoms worse. Infections that have possible links to fibromyalgia include:

flu
pneumonia
Epstein-Barr virus
gastrointestinal infections, such as those caused by the bacteria Salmonella and Shigella
Trauma
People who go through severe physical or emotional trauma may develop fibromyalgia. The condition has been linked to post-traumatic stress disorder (PTSD).

Stress
Like trauma, stress can have long-lasting effects on your body. Stress has been linked to hormonal changes that could contribute to fibromyalgia."
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too."
GERD,"GERD commonly causes acid reflux, which may result from improper functioning of the lower esophageal sphincter (LES).

The LES is a circular band of muscle at the end of your esophagus. When you swallow, it relaxes and opens up to allow food and liquid to travel from your mouth to your stomach. Then, it tightens and closes again.

Acid reflux happens when your LES doesn’t tighten or close properly. This allows digestive juices and other contents of your stomach to rise up into your esophagus.

Your LES may not function properly if you:

Have a hiatal hernia: This occurs when part of your stomach moves above your diaphragm toward your chest. If your diaphragm is compromised, it may prevent your LES from functioning properly.
Frequently eat large meals: This may cause distension of the upper part of your stomach. This distension sometimes means there isn’t enough pressure on the LES, and it doesn’t close properly.
Lie down too soon after meals: This might not create enough pressure for the LES to function properly.

Other factors, including those listed below, may also contribute to having heartburn more than twice a week.

Lifestyle factors
Lifestyle factors that may contribute to persistent reflux with esophageal inflammation include:

smoking or being exposed to secondhand smoke
eating large meals before lying down
using an abundance of nonsteroidal anti-inflammatory drugs such as aspirin and ibuprofen
Health factors
Health factors such as the following may contribute to GERD:

obesity
pregnancy
connective tissue disorders
older age

Other conditions
Other health conditions that can worsen the symptoms of GERD include:

anxiety
pregnancy
asthma
irritable bowel syndrome

Alcohol
Studies suggest that drinking alcohol may increase the risk of GERD. The greater the quantity of alcohol and frequency of consumption, the greater the correlation.

If you’ve received a diagnosis of GERD, limiting or stopping alcohol intake may provide symptom relief.

Dietary triggers
Some foods may trigger GERD symptoms more than others, including:

high fat foods such as fried and fast foods
spicy foods
certain fruits and vegetables, such as pineapple, tomato, and citrus
certain liquids, such as coffee, tea, and carbonated drinks"
heart attack,"The leading cause of heart attacks is coronary heart disease. This is where plaque builds up in the arteries that supply blood to the heart. The general buildup of plaque in the arteries is also known as atherosclerosis.

There are two main types of heart attack.

Type I heart attacks are where plaque on the inner wall of the artery ruptures and releases cholesterol and other substances into the bloodstream. This can then form a blood clot and block the artery.

In type II heart attacks the heart does not receive as much oxygen-rich blood as it needs, but there is not a complete blockage of an artery.

Other causes of heart attacks include:

torn blood vessels
blood vessel spasms
drug misuse
hypoxia, lack of oxygen in the blood"
hemorrhoids,"Hemorrhoids occur when there’s too much pressure on the veins around your anus. Possible causes and risk factors include:

straining during a bowel movement
sitting for a long period of time, especially on the toilet
having chronic constipation or diarrhea
having a family history of hemorrhoids
engaging in consistent heavy lifting or other activities that strain your body
having obesity
having anal sexual intercourse, which can irritate hemorrhoids
being pregnant (an enlarged uterus presses on the vein in the colon, causing it to bulge)
being over the age of 50"
hepatitis A,"People develop a hepatitis A infection after contracting HAV. This virus is typically transmitted by ingesting food or liquid contaminated with fecal matter that contains the virus. Once transmitted, the virus spreads through the bloodstream to the liver, where it causes inflammation and swelling.

In addition to transmission from eating food or drinking water containing HAV, the virus can also be spread by close personal contact with someone who already has it. HAV is contagious, and a person who has hepatitis A can easily pass the disease to others living in the same household.

You can contract hepatitis A by:

eating food prepared by someone with the hepatitis A virus
eating food handled by preparers who don’t follow strict hand-washing routines before touching food that you eat
eating sewage-contaminated raw shellfish
having sex with someone who has the hepatitis A virus
drinking polluted water
coming in contact with hepatitis A-infected fecal matter"
hepatitis B,"Hepatitis B is a liver infection caused by the hepatitis B virus. There are other forms of hepatitis, namely A, C, D, and E. Hepatitis B can cause an acute (short-term) or chronic (long-term) infection.

The hepatitis B virus is transmitted through bodily fluids, especially blood. It can also be transmitted through semen and vaginal fluids. Although the virus can be detected in saliva, it’s not transmitted through saliva."
hepatitis C,"Hepatitis C is a liver disease that occurs due to HCV infection. HCV transmits through blood-to-blood contact.

This can happen as a result of:

using nonsterile needles, syringes, and other supplies to inject or inhale
pregnancy or childbirth
oral, vaginal, or anal sex without a condom or other barrier method
getting a tattoo or a piercing with nonsterile equipment
sharing personal hygiene items, like razors or toothbrushes
You have an increased risk of HCV infection if you:

have used injection drugs
have a sexual partner with hepatitis C
have HIV
received hemodialysis treatment for an extended period
received a blood transfusion or organ transplant before 1992
received clotting factor concentrates or other blood products before 1987"
hernia,"Hernias are caused by a combination of muscle weakness and strain. Depending on its cause, a hernia can develop quickly or over a long period of time.

Some common causes of muscle weakness or strain that can lead to a hernia include:

a congenital condition, which occurs during development in the womb and is present from birth
aging
damage from an injury or surgery
strenuous exercise or lifting heavy weights
chronic coughing or chronic obstructive pulmonary disorder (COPD)
pregnancy, especially having multiple pregnancies
constipation, which causes you to strain when having a bowel movement
being overweight or having obesity
ascites
There are also certain risk factors that make you more likely to develop a hernia. They include:

being born prematurely or having a low birth weight
being older
chronic cough (likely due to the repetitive increase in abdominal pressure)
cystic fibrosis
pregnancy
chronic constipation
being overweight or having obesity
smoking, which leads to the weakening of connective tissue
a personal or family history of hernias"
HIV,"HIV is caused by a virus and can be transmitted through sexual contact, sharing needles or injecting illicit drugs, and exposure to infected blood. It can also be passed from parent to child during pregnancy, childbirth, or breastfeeding.

HIV targets and destroys white blood cells known as CD4 T cells, which are essential for the immune system to combat diseases. As the number of CD4 T cells decreases, the immune system becomes progressively weaker."
hives,"Hives are usually caused by an allergic reaction to something that you have encountered or swallowed. When you have an allergic reaction, your body begins to release histamines into your blood. Histamines are chemicals your body produces in an attempt to defend itself against infection and other outside intruders.

In some people, histamines can cause swelling, itching, and many of the symptoms that are experienced with hives. In terms of allergens, hives can be caused by factors such as pollen, medications, food, animal dander, and insect bites.

Hives might also be caused by circumstances besides allergies. It’s not uncommon for people to experience hives as the result of stress, tight clothes, exercise, illnesses, or infections.

It’s also possible to develop hives as the result of excessive exposure to hot or cold temperatures or from irritation due to excessive sweating. Because there are several potential triggers, many times the actual cause of hives can’t be determined."
kidney stones,"Kidney stones are most likely to occur in people between the ages of 20 and 50.

Different factors can increase your risk of developing a stone. In the United States, white people are more likely to have kidney stones than Black people.

Sex also plays a role. More men than women develop kidney stones, according to the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)Trusted Source.

A history of kidney stones can increase your risk. So does a family history of kidney stones.

Other risk factors include:

dehydration
obesity
a diet with high levels of protein, salt, or glucose
hyperparathyroid condition
gastric bypass surgery
inflammatory bowel diseases that increase calcium absorption
taking medications such as triamterene diuretics, antiseizure drugs, and calcium-based antacids"
obesity,"Taking in more calories than you burn in daily activity and exercise — on a long-term basis — can lead to obesity. Over time, these extra calories add up and cause weight gain.

But it’s not always just about calories in and calories out or having a sedentary lifestyle. While those are indeed causes of obesity, some causes you can’t control.

Common specific causes of obesity include:

genetics, which can affect how your body processes food into energy and how fat is stored
growing older, which can lead to less muscle mass and a slower metabolic rate, making it easier to gain weight
not sleeping enough, which can lead to hormonal changes that make you feel hungrier and crave certain high calorie foods
high stress, which may trigger the production of hormones that cause you to eat more and store more fat
pregnancy, as weight gained during pregnancy may be difficult to lose and might eventually lead to obesity
Certain health conditions can also lead to weight gain, which may lead to obesity. These include:

metabolic syndrome, a group of risk factors that include high blood pressure, high blood sugar, high levels of triglycerides, low levels of HDL cholesterol, and excess fat around your waist that raise your chance of developing certain serious health conditions
polycystic ovary syndrome (PCOS), a condition that causes an imbalance of hormones called androgens
Prader-Willi syndrome, a rare condition present at birth that causes excessive hunger
Cushing syndrome, a condition caused by having high levels of cortisol (the stress hormone) in your system
hypothyroidism (underactive thyroid), a condition in which the thyroid gland doesn’t produce enough of certain important hormones
osteoarthritis (OA) and other conditions that cause pain that may lead to reduced activity"
osteoarthritis,"Osteoarthritis is caused by gradual joint and cartilage damage.

Cartilage is a tough, rubbery substance that protects the ends of bones within a joint, allowing them to move easily against each other. With osteoarthritis, this cartilage breaks down over time, leading to bones rubbing against each other. This may cause intense pain and other osteoarthritis symptoms.

Researchers don’t yet know the underlying cause of this gradual joint degeneration, according to the National Institute of Arthritis and Musculoskeletal and Skin Diseases.

However, several osteoarthritis risk factors have been identified, which may contribute to the development and progression of the condition. These may include:

genetics, such as having a family member with the condition
past injuries, such as torn cartilage, dislocated joints, or ligament injuries
being age 50 years and older
being assigned female at birth
having overweight or obesity
having gone through menopause
having an occupation that involves kneeling, climbing, heavy lifting, or similar actions
having another medical condition that affects your joint health, such as a different type of arthritis"
osteoporosis,"Osteoporosis is the most common bone disease, significantly increasing the likelihood of fractures. Around half of women over 50 will suffer a fracture in the hip, wrist, or spine during their lifetime, with spine fractures being the most frequent.

To build and maintain strong bones, the body relies on calcium and phosphate. Throughout life, bones undergo a continuous process of breakdown and renewal. As long as this process remains balanced, bones stay strong. However, bone loss occurs when the body reabsorbs more bone than it produces. In some cases, this happens without an identifiable cause, while in others, it may run in families. Older white women are particularly at risk for bone loss.

Weak, brittle bones result from the body absorbing too much bone or failing to produce sufficient new bone. Aging can also lead to the loss of calcium and phosphate from bones, further weakening them.

A major factor in preventing bone loss is consuming enough calcium to support bone formation. It’s crucial to eat calcium-rich foods and get sufficient vitamin D, which aids in calcium absorption. Bones can become fragile and more prone to fractures if:

You don’t consume enough calcium and vitamin D.
Your body cannot effectively absorb calcium and vitamin D, which can occur after gastric bypass surgery or due to specific medical conditions.

Other causes of bone loss include:

Decreased estrogen in women after menopause and reduced testosterone in aging men.
Prolonged bed rest due to illness, particularly affecting children’s bones.
Chronic inflammatory conditions like Crohn’s disease or rheumatoid arthritis.
Certain medications, including seizure drugs, hormone therapies for prostate or breast cancer, and long-term use of steroids (over three months)."
Parkinson's disease,"The exact cause of Parkinson’s is unknown. It may have both genetic and environmental components. Some scientists believe that viruses can trigger Parkinson’s as well.

Low levels of dopamine and norepinephrine, a substance that regulates dopamine, have been linked with Parkinson’s.

Abnormal proteins called Lewy bodies have also been found in the brains of people with Parkinson’s. Scientists do not know what role, if any, Lewy bodies play in the development of Parkinson’s.

While there’s no known cause, research has identified groups of people who are more likely to develop the condition, which include:

Sex. Men are one and a half times more likely to develop Parkinson’s than women.
Race. According to research, there’s a higher prevalence of Parkinson’s in white people compared with Black or Asian people. Geographic location may be one reason for a higher risk.
Age. Parkinson’s usually appears between ages 50 and 60 years. It only occurs before 40 years old in about four percent of cases.
Family history. People who have close family members with Parkinson’s disease are more likely to develop Parkinson’s disease.
Toxins. Exposure to certain toxins may increase the risk of Parkinson’s disease.
Head injury. People who experience head injuries may be more likely to develop Parkinson’s disease."
psoriatic arthritis,"In PsA, your immune system attacks your joints and skin. Doctors don’t know for sure what causes these attacks. They think it stems from a combination of genes and environmental factors.

PsA runs in families. About 40% of people with the condition have one or more relatives with PsA. Something in the environment usually triggers the disease for those with a tendency to develop PsA. That could be a virus, extreme stress, or an injury."
cirrhosis,"Numerous diseases and conditions can damage the liver, potentially resulting in cirrhosis. Common causes include:

Chronic alcohol abuse.
Persistent viral hepatitis (types B, C, and D).
Nonalcoholic fatty liver disease (NAFLD), characterized by fat buildup in the liver.
Hemochromatosis, which causes excessive iron accumulation in the body.
Autoimmune hepatitis, where the immune system attacks liver cells.
Primary biliary cholangitis, leading to bile duct damage.
Primary sclerosing cholangitis, which causes bile duct scarring and hardening.
Wilson's disease, marked by copper buildup in the liver.
Genetic conditions such as cystic fibrosis or alpha-1 antitrypsin deficiency.
Biliary atresia, a condition involving malformed bile ducts.
Inherited disorders of sugar metabolism, such as galactosemia or glycogen storage disease.
Alagille syndrome, a genetic disorder affecting digestion.
Infections, including syphilis or brucellosis.
Certain medications, such as methotrexate or isoniazid.
These factors can progressively damage liver tissue, leading to cirrhosis."
delirium,"Delirium happens when stressors like inflammation or infection interfere with your brain function. There are many possible causes.

The condition is very common among older adults who need hospital care. Around one-third of hospital patients over age 70 experience delirium at some point during their hospital stay. It’s possible for younger people to experience delirium too, although it’s less common.

Any condition or factor that significantly changes your brain function can cause severe mental confusion. These include:

certain medications, such as sedatives, blood pressure medications, sleeping pills, and pain relievers
acute illness
infections
worsening symptoms of a long-term (chronic) illness
lack of oxygen — for example, breathing difficulties from asthma
blocked arteries (ischemia) — for example, in the brain or heart
severe pain
dehydration
sleep deprivation
metabolic issues, such as low blood sugar or an electrolyte imbalance
alcohol withdrawal in people with long-term, heavy alcohol use
surgery or general anesthesia
Medication side effects are a major cause of delirium. Up to 39% of the time, delirium is caused by medications."
epilepsy,"In about half of people with epilepsy, the cause cannot be determined, per the WHO. A variety of factors can contribute to the development of seizures, such as:

traumatic brain injury or other head trauma
brain scarring after a brain injury (post-traumatic epilepsy)
serious illness or very high fever
stroke, which causes about half of epilepsy cases in older adults when there’s no identifiable cause, according to the CDC
lack of oxygen to the brain
brain tumor or cyst
dementia, including Alzheimer’s disease
maternal use of some drugs, prenatal injury, brain malformation, or lack of oxygen at birth
infectious conditions like HIV and AIDS and meningitis
genetic or developmental disorders or neurological diseases
Epilepsy can develop at any age, but diagnosis usually occurs in early childhood or after 60 years old."
heart failure,"Heart failure happens when your heart muscle gets weak or stiff. This may then block or reduce blood flow to the heart.

The most common cause of heart failure is coronary artery disease (CAD). It happens when fatty deposits build up in your arteries, reducing the supply of blood and oxygen to the heart.

Other conditions that may increase your risk of developing heart failure include:

heart attack
inherited heart disease
a condition that weakens the heart muscle, like cardiomyopathy
heart inflammation, like myocarditis
high blood pressure, also called hypertension
arrhythmia, which is an irregular heart rhythm
viral infection
congenital heart disease
diabetes
obesity
pressure in your lungs, called pulmonary hypertension
overactive thyroid, also known as hyperthyroidism
Certain behaviors may also increase your risk of developing heart failure, including:

smoking
drinking alcohol
eating foods high in fat or cholesterol
not getting enough physical activity"
peptic ulcer,"Different factors can cause the lining of the stomach, the esophagus, and the small intestine to break down. These include:

H. pylori, a type of bacteria that can cause a stomach infection and inflammation
frequent use of aspirin (Bayer), ibuprofen (Advil), and other anti-inflammatory drugs (risk associated with this behavior increases in women and people over the age of 60)
smoking
drinking too much alcohol
radiation therapy
stomach cancer"
urinary tract infection (UTI),"Anything that reduces your bladder emptying or irritates the urinary tract can lead to a UTI. There are also many factors that can put you at an increased risk of getting a UTI.

These risk factors include:

age (older adults are more likely to get UTIs)
reduced mobility after surgery or prolonged bed rest
kidney stones
a previous UTI
urinary tract obstructions or blockages, like:
enlarged prostate
kidney stones
certain forms of cancer
prolonged use of urinary catheters, which may make it easier for bacteria to get into your bladder
diabetes
pregnancy
abnormally developed urinary structures from birth
weakened immune system"
melanoma,"Melanoma develops when healthy melanocytes, the pigment-producing cells that give skin its color, transform into cancer cells. This pigment is called melanin.

Melanoma begins when the DNA of melanocytes undergoes changes. DNA contains the instructions that guide a cell's behavior. In healthy cells, DNA directs growth and division at a controlled pace and signals when cells should die. In cancer cells, changes in the DNA provide abnormal instructions, causing cells to multiply rapidly and avoid normal cell death. This leads to an accumulation of abnormal cells.

These cancerous cells may form a mass known as a tumor, which can grow and damage healthy tissues. Over time, the cancer cells may detach and spread to other parts of the body, a process called metastasis.

The exact cause of DNA changes in melanocytes that lead to melanoma is unclear. It is likely influenced by a combination of genetic and environmental factors. However, exposure to ultraviolet (UV) light, from the sun or artificial sources like tanning beds, is considered the primary cause of melanoma.

Not all melanomas are caused by UV light, especially those occurring in areas of the body not exposed to sunlight. This suggests that additional factors may also play a role in increasing the risk of melanoma."
gastritis,"Weakness in your stomach lining allows digestive juices to damage and inflame it, causing gastritis. Having a thin or damaged stomach lining raises your risk for gastritis.

A gastrointestinal bacterial infection can also cause gastritis. The most common bacterial infection that causes it is H. pylori, a bacterium that infects the lining of the stomach. The infection is usually passed from person to person, but it can also be transmitted through contaminated food or water.

Certain conditions and activities may increase your risk for developing gastritis. Other risk factors include:

extreme alcohol consumption
routine use of NSAIDs like ibuprofen and aspirin
cocaine use
age, because the stomach lining thins naturally with age
tobacco use
Other less common risk factors include:

stress
autoimmune disorders
digestive disorders like Crohn’s disease
viral infections"
glaucoma,"The back of your eye continuously makes a clear fluid called aqueous humor. As this fluid is made, it fills the front part of your eye. Then, it leaves your eye through channels in your cornea and iris. If these channels are blocked or partially obstructed, the natural pressure in your eye, which is called the intraocular pressure (IOP), may increase. As your IOP increases, your optic nerve may become damaged. As damage to your nerve progresses, you may begin losing sight in your eye.

What causes the pressure in your eye to increase isn’t always known. However, doctors believe one or more of these factors may play a role:

dilating eye drops
blocked or restricted drainage in your eye
medications, such as corticosteroids
poor or reduced blood flow to your optic nerve
high or elevated blood pressure"
tachycardia,"Tachycardia refers to an abnormally fast heart rate. When caused by factors such as exercise or stress, it is known as sinus tachycardia, which is a symptom rather than a standalone condition.

Many heart conditions can lead to various forms of tachycardia, often linked to irregular heart rhythms, or arrhythmias. Atrial fibrillation (AFib) is a common example of an arrhythmia that can result in tachycardia.

Other factors that may contribute to tachycardia include:

Fever.
Excessive alcohol consumption (14 or more drinks per week for men, or 7 or more drinks per week for women).
Alcohol withdrawal.
High caffeine intake.
High or low blood pressure.
Electrolyte imbalances, such as abnormal levels of potassium, sodium, calcium, or magnesium.
Certain medications.
Hyperthyroidism (overactive thyroid).
Anemia (low red blood cell count).
Smoking or nicotine use.
Use of stimulant drugs, such as cocaine or methamphetamine.
Heart attack.
Identifying the underlying cause of tachycardia is essential for appropriate treatment and management."
