disease,cause
fever,"Typical body temperature is a balance of heat production and heat loss. An area in the brain called the hypothalamus (hi-poe-THAL-uh-muhs) — also known as your body's ""thermostat"" — monitors this balance. Even when you're healthy, your body temperature varies slightly throughout the day. It can be lower in the morning and higher in the late afternoon and evening.

When your immune system responds to disease, the hypothalamus can set your body temperature higher. This prompts complex processes that produce more heat and restrict heat loss. The shivering you might experience is one way the body produces heat. When you wrap up in a blanket because you feel chilled, you are helping your body retain heat.

Fevers below 104 F (40 C) associated with common viral infections, such as the flu, may help the immune system fight disease and are generally not harmful.

Fever or elevated body temperature might be caused by:

A viral infection
A bacterial infection
Heat exhaustion
Certain inflammatory conditions such as rheumatoid arthritis — inflammation of the lining of your joints (synovium)
A cancerous (malignant) tumor
Some medications, such as antibiotics and drugs used to treat high blood pressure or seizures
Some immunizations, such as the diphtheria, tetanus and acellular pertussis (DTaP), pneumococcal or COVID vaccine"
fibromyalgia,"Many researchers believe that repeated nerve stimulation causes the brain and spinal cord of people with fibromyalgia to change. This change involves an abnormal increase in levels of certain chemicals in the brain that signal pain.

In addition, the brain's pain receptors seem to develop a sort of memory of the pain and become sensitized, meaning they can overreact to painful and nonpainful signals.

There are likely many factors that lead to these changes, including:

Genetics. Because fibromyalgia tends to run in families, there may be certain genetic mutations that may make you more susceptible to developing the disorder.
Infections. Some illnesses appear to trigger or aggravate fibromyalgia.
Physical or emotional events. Fibromyalgia can sometimes be triggered by a physical event, such as a car accident. Prolonged psychological stress may also trigger the condition."
gallstones,"It's not clear what causes gallstones to form. Doctors think gallstones may result when:

Your bile contains too much cholesterol. Normally, your bile contains enough chemicals to dissolve the cholesterol excreted by your liver. But if your liver excretes more cholesterol than your bile can dissolve, the excess cholesterol may form into crystals and eventually into stones.
Your bile contains too much bilirubin. Bilirubin is a chemical that's produced when your body breaks down red blood cells. Certain conditions cause your liver to make too much bilirubin, including liver cirrhosis, biliary tract infections and certain blood disorders. The excess bilirubin contributes to gallstone formation.
Your gallbladder doesn't empty correctly. If your gallbladder doesn't empty completely or often enough, bile may become very concentrated, contributing to the formation of gallstones."
GERD,"GERD, or gastroesophageal reflux disease, is a condition commonly associated with acid reflux, which occurs when the lower esophageal sphincter (LES) does not function properly.

The LES is a circular muscle at the bottom of the esophagus that opens to allow food and liquids to pass into the stomach and closes to prevent backflow. When the LES weakens or fails to close correctly, stomach contents, including digestive acids, can flow back into the esophagus, causing discomfort and inflammation.

Factors Affecting LES Function
Several factors can interfere with the proper functioning of the LES, including:

Hiatal hernia: This occurs when part of the stomach moves above the diaphragm, weakening its ability to support the LES.
Overeating: Consuming large meals can stretch the stomach, reducing the pressure on the LES and allowing reflux.
Lying down after eating: This position can reduce the pressure needed for the LES to stay closed.
Additional Contributing Factors
Certain lifestyle habits and health conditions can increase the risk of GERD or worsen symptoms:

Lifestyle factors:

Smoking or exposure to secondhand smoke
Eating large meals close to bedtime
Frequent use of NSAIDs like aspirin and ibuprofen
Health factors:

Obesity
Pregnancy
Connective tissue disorders
Aging
Other health conditions:

Anxiety
Asthma
Irritable bowel syndrome (IBS)
Pregnancy
The Role of Alcohol
Research shows that alcohol can exacerbate GERD, with higher consumption levels linked to increased risk. Reducing or eliminating alcohol intake may help improve symptoms.

Dietary Triggers
Certain foods and beverages are more likely to provoke GERD symptoms, such as:

High-fat foods, including fried and fast foods
Spicy dishes
Acidic fruits and vegetables, like citrus, tomatoes, and pineapple
Drinks like coffee, tea, and carbonated beverages
Managing GERD typically involves lifestyle adjustments, such as avoiding trigger foods, maintaining a healthy weight, and reducing alcohol consumption, to alleviate symptoms and improve quality of life."
heart attack,"Coronary artery disease causes most heart attacks. In coronary artery disease, one or more of the heart (coronary) arteries are blocked. This is usually due to cholesterol-containing deposits called plaques. Plaques can narrow the arteries, reducing blood flow to the heart.

If a plaque breaks open, it can cause a blood clot in the heart.

A heart attack may be caused by a complete or partial blockage of a heart (coronary) artery. One way to classify heart attacks is whether an electrocardiogram (ECG or EKG) shows some specific changes (ST elevation) that require emergency invasive treatment. Your health care provider may use electrocardiogram (ECG) results to describe these types of heart attacks.

An acute complete blockage of a medium or large heart artery usually means you've had an ST elevation myocardial infarction (STEMI).
A partial blockage often means you've had a non-ST elevation myocardial infarction (NSTEMI). However, some people with non-ST elevation myocardial infarction (NSTEMI) have a total blockage.
Not all heart attacks are caused by blocked arteries. Other causes include:

Coronary artery spasm. This is a severe squeezing of a blood vessel that's not blocked. The artery generally has cholesterol plaques or there is early hardening of the vessel due to smoking or other risk factors. Other names for coronary artery spasms are Prinzmetal's angina, vasospastic angina or variant angina.
Certain infections. COVID-19 and other viral infections may cause damage to the heart muscle.
Spontaneous coronary artery dissection (SCAD). This life-threatening condition is caused by a tear inside a heart artery."
hemorrhoids,"The veins around the anus tend to stretch under pressure and may bulge or swell. Hemorrhoids can develop from increased pressure in the lower rectum due to:

Straining during bowel movements.
Sitting for long periods of time, especially on the toilet.
Having chronic diarrhea or constipation.
Being obese.
Being pregnant.
Having anal intercourse.
Eating a low-fiber diet.
Regularly lifting heavy items."
hepatitis A,"Hepatitis A is caused by a virus that infects liver cells and causes inflammation. The inflammation can affect how your liver works and cause other symptoms of hepatitis A.

The virus spreads when infected stool, even just tiny amounts, enters the mouth of another person (fecal-oral transmission). You may get hepatitis A when you eat or drink something contaminated with infected stool. You may also get the infection through close contact with a person who has hepatitis A. The virus can live on surfaces for a few months. The virus does not spread through casual contact or by sneezing or coughing.

Here are some of the specific ways the hepatitis A virus can spread:

Eating food handled by someone with the virus who doesn't thoroughly wash hands after using the toilet
Drinking contaminated water
Eating food washed in contaminated water
Eating raw shellfish from water polluted with sewage
Being in close contact with a person who has the virus — even if that person has no symptoms
Having sexual contact with someone who has the virus"
hepatitis B,"Hepatitis B is caused by the hepatitis B virus (HBV). The virus passes from person to person through blood, semen or other body fluids. It does not spread by sneezing or coughing.

Common ways that HBV can spread are:

Sexual contact. You may get hepatitis B if you have sex with someone who is infected and you don't use a condom. The virus can pass to you if the person's blood, saliva, semen or vaginal fluids enter your body.
Sharing of needles. HBV easily spreads through needles and syringes that are tainted with infected blood. Sharing equipment used to inject illicit drugs puts you at high risk of hepatitis B.
Accidental needlesticks. Hepatitis B is a concern for healthcare workers and anyone else who comes in contact with human blood.
Pregnant person to newborn. Pregnant people infected with HBV can pass the virus to their babies during childbirth. But the newborn can be vaccinated to prevent getting infected in almost all cases. Talk with your healthcare professional about being tested for hepatitis B if you are pregnant or want to become pregnant."
hepatitis C,"Hepatitis C infection is caused by the hepatitis C virus (HCV). The infection spreads when blood that has the virus enters the bloodstream of a person who isn't affected.

Around the world, hepatitis C infection exists in several forms, called genotypes. There are seven genotypes and 67 subtypes. The most common hepatitis C genotype in the United States is type 1.

Chronic hepatitis C follows the same course no matter what the genotype of the infecting virus. But treatment can vary depending on viral genotype. However, newer antiviral drugs can treat many genotypes."
hernia,"Hernias occur due to a combination of muscle weakness and strain, and their development can be either rapid or gradual depending on the cause.

Common causes of muscle weakness or strain that may lead to a hernia include:

Congenital conditions present from birth due to developmental issues in the womb
Aging
Injuries or complications from surgery
Intense physical activity or heavy lifting
Persistent coughing or chronic obstructive pulmonary disease (COPD)
Pregnancy, particularly with multiple pregnancies
Constipation, causing straining during bowel movements
Being overweight or obese
Abdominal fluid buildup (ascites)
Additionally, certain factors increase the risk of hernia development, such as:

Premature birth or low birth weight
Older age
Chronic coughing (due to repeated pressure on the abdomen)
Cystic fibrosis
Pregnancy
Persistent constipation
Excess weight or obesity
Smoking, which weakens connective tissues
A personal or family history of hernias"
HIV,"HIV is caused by a virus. It can spread through sexual contact, shooting of illicit drugs or use of shared needles, and contact with infected blood. It also can spread from parent to child during pregnancy, childbirth or breastfeeding.

HIV destroys white blood cells called CD4 T cells. These cells play a large role in helping the body fight disease. The fewer CD4 T cells you have, the weaker your immune system becomes."
hives,"When you experience an allergic reaction to a substance, your body releases histamine and other chemicals into the bloodstream, leading to symptoms such as itching, swelling, and other discomforts. Hives are a common result of such reactions, particularly among individuals with other allergies like hay fever.

Angioedema, which is swelling in deeper layers of tissue, can sometimes accompany hives. It can occur anywhere on the body but is especially concerning when it affects the mouth or throat, as it may cause severe symptoms like airway obstruction.

Various substances can trigger hives, including:

Animal dander (especially from cats)
Insect bites
Medications
Pollen
Foods such as shellfish, fish, nuts, eggs, and milk"
kidney stones,"Kidney stones often have no definite, single cause, although several factors may increase your risk.

Kidney stones form when your urine contains more crystal-forming substances — such as calcium, oxalate and uric acid — than the fluid in your urine can dilute. At the same time, your urine may lack substances that prevent crystals from sticking together, creating an ideal environment for kidney stones to form.

Types of kidney stones
Knowing the type of kidney stone you have helps determine its cause, and may give clues on how to reduce your risk of getting more kidney stones. If possible, try to save your kidney stone if you pass one so that you can bring it to your doctor for analysis.

Types of kidney stones include:

Calcium stones. Most kidney stones are calcium stones, usually in the form of calcium oxalate. Oxalate is a substance made daily by your liver or absorbed from your diet. Certain fruits and vegetables, as well as nuts and chocolate, have high oxalate content.

Dietary factors, high doses of vitamin D, intestinal bypass surgery and several metabolic disorders can increase the concentration of calcium or oxalate in urine.

Calcium stones may also occur in the form of calcium phosphate. This type of stone is more common in metabolic conditions, such as renal tubular acidosis. It may also be associated with certain medications used to treat migraines or seizures, such as topiramate (Topamax, Trokendi XR, Qudexy XR).

Struvite stones. Struvite stones form in response to a urinary tract infection. These stones can grow quickly and become quite large, sometimes with few symptoms or little warning.
Uric acid stones. Uric acid stones can form in people who lose too much fluid because of chronic diarrhea or malabsorption, those who eat a high-protein diet, and those with diabetes or metabolic syndrome. Certain genetic factors also may increase your risk of uric acid stones.
Cystine stones. These stones form in people with a hereditary disorder called cystinuria that causes the kidneys to excrete too much of a specific amino acid."
obesity,"Although there are genetic, behavioral, metabolic and hormonal influences on body weight, obesity occurs when you take in more calories than you burn through typical daily activities and exercise. Your body stores these excess calories as fat.

In the United States, most people's diets are too high in calories — often from fast food and high-calorie beverages. People with obesity might eat more calories before feeling full, feel hungry sooner, or eat more due to stress or anxiety.

Many people who live in Western countries now have jobs that are much less physically demanding, so they don't tend to burn as many calories at work. Even daily activities use fewer calories, courtesy of conveniences such as remote controls, escalators, online shopping, and drive-through restaurants and banks."
osteoarthritis,"Osteoarthritis occurs when the cartilage that cushions the ends of bones in your joints gradually deteriorates. Cartilage is a firm, slippery tissue that enables nearly frictionless joint motion.

Eventually, if the cartilage wears down completely, bone will rub on bone.

Osteoarthritis has often been referred to as a wear and tear disease. But besides the breakdown of cartilage, osteoarthritis affects the entire joint. It causes changes in the bone and deterioration of the connective tissues that hold the joint together and attach muscle to bone. It also causes inflammation of the joint lining."
osteoporosis,"Osteoporosis is the most common bone disease and significantly increases the risk of fractures. Approximately half of women over the age of 50 will experience a fracture of the hip, wrist, or spine during their lifetime, with spine fractures being the most prevalent.

Calcium and phosphate are vital minerals required for building and maintaining strong, healthy bones. Throughout life, your body continually breaks down old bone and forms new bone. When this process is balanced, bones remain strong. However, when the body reabsorbs more bone than it creates, bone loss occurs. In some cases, this happens without a known cause, while in others, it may run in families. Bone loss is most common in older white women.

Brittle and fragile bones can develop when the body reabsorbs too much bone or fails to produce enough new bone. Aging can lead to the reabsorption of calcium and phosphate from bones, weakening them.

A major risk factor is insufficient calcium intake, which prevents the creation of new bone tissue. Consuming calcium-rich foods and getting enough vitamin D are essential, as vitamin D helps the body absorb calcium. Bones may become brittle and prone to fractures if:

You do not consume enough calcium and vitamin D.
Your body fails to absorb enough calcium and vitamin D, such as after gastric bypass surgery or due to certain medical conditions.
Other factors contributing to bone loss include:

Reduced estrogen levels in women during menopause and decreased testosterone levels in aging men.
Prolonged bed rest due to illness, which primarily affects children.
Medical conditions causing increased inflammation, such as Crohn's disease or rheumatoid arthritis.
Certain medications, including seizure medications, hormone therapies for prostate or breast cancer, and long-term steroid use (over three months)."
Parkinson's disease,"In Parkinson's disease, nerve cells in the brain called neurons slowly break down or die. Many Parkinson's disease symptoms are caused by a loss of neurons that produce a chemical messenger in the brain. This messenger is called dopamine.

Decreased dopamine leads to irregular brain activity. This causes movement problems and other symptoms of Parkinson's disease. People with Parkinson's disease also lose a chemical messenger called norepinephrine that controls many body functions, such as blood pressure.

The cause of Parkinson's disease is unknown, but several factors seem to play a role, including:

Genes. Specific genetic changes are linked to Parkinson's disease. But these are rare unless many family members have had Parkinson's disease.
Environmental factors. Exposure to certain toxins or other environmental factors may increase the risk of later Parkinson's disease. One example is MPTP, a substance that can be found in illegal drugs and is sometimes sold illegally as ""synthetic heroin."" Other examples include pesticides and well water used for drinking. But no environmental factor has proved to be a cause.
Many changes happen in the brains of people with Parkinson's disease. Researchers are studying why the changes happen and the roles they play. These changes include:

The presence of Lewy bodies. Clumps of proteins in the brain are associated with Parkinson's disease. These are called Lewy bodies, and researchers believe these proteins hold an important clue to the cause of Parkinson's disease.
Alpha-synuclein found within Lewy bodies. Alpha-synuclein is a protein found in all Lewy bodies. It occurs in a clumped form that cells can't break down. This is currently an important focus among Parkinson's disease researchers. Alpha-synuclein has been found in the spinal fluid of people who later have Parkinson's disease.
Altered mitochondria. Mitochondria are powerhouse compartments inside cells that create most of the body's energy. Changes to mitochondria can cause cell damage. These changes have been found in the brains of people with Parkinson's disease."
psoriatic arthritis,"Psoriatic arthritis occurs when your body's immune system attacks healthy cells and tissue. The immune response causes inflammation in your joints as well as overproduction of skin cells.

It seems likely that both genetic and environmental factors play a role in this immune system response. Many people with psoriatic arthritis have a family history of either psoriasis or psoriatic arthritis. Researchers have discovered certain genetic markers that appear to be associated with psoriatic arthritis.

Physical trauma or something in the environment — such as a viral or bacterial infection — might trigger psoriatic arthritis in people with an inherited tendency."
cirrhosis,"A wide range of diseases and conditions can damage the liver and lead to cirrhosis.

Some of the causes include:

Long-term alcohol abuse.
Ongoing viral hepatitis (hepatitis B, C and D).
Nonalcoholic fatty liver disease, a condition in which fat accumulates in the liver.
Hemochromatosis, a condition that causes iron buildup in the body.
Autoimmune hepatitis, which is a liver disease caused by the body's immune system.
Destruction of the bile ducts caused by primary biliary cholangitis.
Hardening and scarring of the bile ducts caused by primary sclerosing cholangitis.
Wilson's disease, a condition in which copper accumulates in the liver.
Cystic fibrosis.
Alpha-1 antitrypsin deficiency.
Poorly formed bile ducts, a condition known as biliary atresia.
Inherited disorders of sugar metabolism, such as galactosemia or glycogen storage disease.
Alagille syndrome, a genetic digestive disorder.
Infection, such as syphilis or brucellosis.
Medications, including methotrexate or isoniazid."
delirium,"Delirium occurs when signals in the brain aren't sent and received properly.

The disorder may have a single cause or more than one cause. For example, a medical condition combined with the side effects of a medicine could cause delirium. Sometimes no cause can be found. Possible causes include:

Certain medicines or medicine side effects
Alcohol or drug use or withdrawal
A medical condition such as a stroke, heart attack, worsening lung or liver disease, or an injury from a fall
An imbalance in the body, such as low sodium or low calcium
Severe, long-lasting illness or an illness that will lead to death
Fever and a new infection, particularly in children
Urinary tract infection, pneumonia, the flu or COVID-19, especially in older adults
Exposure to a toxin, such as carbon monoxide, cyanide or other poisons
Poor nutrition or a loss of too much body fluid
Lack of sleep or severe emotional distress
Pain
Surgery or another medical procedure that requires being put in a sleep-like state
Some medicines taken alone or taken in combination can trigger delirium. These include medicines that treat:

Pain
Sleep problems
Mood disorders, such as anxiety and depression
Allergies
Asthma
Swelling
Parkinson's disease
Spasms or convulsions"
epilepsy,"Epilepsy has no identifiable cause in about half the people with the condition. In the other half, the condition may be traced to various factors, including:

Genetic influence. Some types of epilepsy run in families. In these instances, it's likely that there's a genetic influence. Researchers have linked some types of epilepsy to specific genes. But some people have genetic epilepsy that isn't hereditary. Genetic changes can occur in a child without being passed down from a parent.

For most people, genes are only part of the cause of epilepsy. Certain genes may make a person more sensitive to environmental conditions that trigger seizures.

Head trauma. Head trauma as a result of a car accident or other traumatic injury can cause epilepsy.
Factors in the brain. Brain tumors can cause epilepsy. Epilepsy also may be caused by the way blood vessels form in the brain. People with blood vessel conditions such as arteriovenous malformations and cavernous malformations can have seizures. And in adults older than age 35, stroke is a leading cause of epilepsy.
Infections. Meningitis, HIV, viral encephalitis and some parasitic infections can cause epilepsy.
Injury before birth. Before they're born, babies are sensitive to brain damage that could be caused by several factors. They might include an infection in the mother, poor nutrition or not enough oxygen. This brain damage can result in epilepsy or cerebral palsy.
Developmental conditions. Epilepsy can sometimes occur with developmental conditions. People with autism are more likely to have epilepsy than are people without autism. Research also has found that people with epilepsy are more likely to have attention-deficit/hyperactivity disorder (ADHD) and other developmental conditions. Having both conditions may be related to genes.
Seizure triggers
Seizures can be triggered by things in the environment. Seizure triggers don't cause epilepsy, but they may trigger seizures in people who have epilepsy. Most people with epilepsy don't have reliable triggers that always cause a seizure. However, they often can identify factors that make it easier to have a seizure. Possible seizure triggers include:

Alcohol.
Flashing lights.
Illicit drug use.
Skipping doses of antiseizure medicines or taking more than prescribed.
Lack of sleep.
Hormone changes during the menstrual cycle.
Stress.
Dehydration.
Skipped meals.
Illness."
