disease,source,cause
gout,MedlinePlus,"Gout happens when too much uric acid (urate) builds up in your body over a long time. Uric acid is a waste product your body makes when it breaks down purines. Purines are substances that are in your body's tissues and in many foods.

When your body breaks down old cells or digests foods that contain purine, most of the uric acid that's made dissolves in your blood. Your kidneys filter the uric acid out of your blood, and it leaves your body in your urine (pee).

However, sometimes your body can make too much uric acid or does not remove enough of it. Then the uric acid levels build up in your body, including in your blood. Having too much uric acid in the blood is called hyperuricemia. It does not cause health problems for everyone. But in some people, uric acid forms needle-like crystals. They can form in your joints, which causes gout. The crystals can also cause kidney stones.

Calcium pyrophosphate arthritis, sometimes called pseudogout, is a related disease. It causes similar symptoms and is sometimes confused with gout. But it is caused by a buildup of calcium phosphate, not uric acid."
gout,Healthline,"The buildup of uric acid in your blood from the breakdown of purines causes gout.

Certain conditions, such as blood and metabolism disorders or dehydration, make your body produce too much uric acid.

A kidney or thyroid problem, or an inherited disorder, can make it harder for your body to remove excess uric acid.

You’re more likely to get gout if you:

are a middle-aged man or postmenopausal woman
have parents, siblings, or other family members with gout
drink alcohol
take medications such as diuretics and cyclosporine
have a condition like high blood pressure, kidney disease, thyroid disease, diabetes, or sleep apnea
For some people, gout is caused by consuming foods that are high in gout-producing purines."
malaria,MayoClinic,"Malaria is caused by a single-celled parasite of the genus plasmodium. The parasite is transmitted to humans most commonly through mosquito bites.

Mosquito transmission cycle:
Malaria spreads when a mosquito becomes infected with the disease after biting an infected person, and the infected mosquito then bites a noninfected person. The malaria parasites enter that person's bloodstream and travel to the liver. When the parasites mature, they leave the liver and infect red blood cells.

-Uninfected mosquito. A mosquito becomes infected by feeding on a person who has malaria.
-Transmission of parasite. If this mosquito bites you in the future, it can transmit malaria parasites to you.
-In the liver. Once the parasites enter your body, they travel to your liver — where some types can lie dormant for as long as a year.
-Into the bloodstream. When the parasites mature, they leave the liver and infect your red blood cells. This is when people typically develop malaria symptoms.
-On to the next person. If an uninfected mosquito bites you at this point in the cycle, it will become infected with your malaria parasites and can spread them to the other people it bites.

Other modes of transmission
Because the parasites that cause malaria affect red blood cells, people can also catch malaria from exposure to infected blood, including:

From mother to unborn child
Through blood transfusions
By sharing needles used to inject drugs"
malaria,MedlinePlus,"Malaria is caused by a parasite. It is passed to humans by the bite of infected Anopheles mosquitoes. After infection, the parasites (called sporozoites) travel through the bloodstream to the liver. There, they mature and release another form of parasites, called merozoites. The parasites enter the bloodstream and infect red blood cells (RBCs).

The parasites multiply inside the red blood cells. The cells then break open within 48 to 72 hours and infect more red blood cells. The first symptoms usually occur 2 to 4 weeks after infection, though they can appear as early as 8 days or as long as a year after infection. The symptoms occur in cycles of 48 to 72 hours.

Most symptoms are caused by:

The release of merozoites into the bloodstream
Anemia resulting from the destruction of the red blood cells
Large amounts of free hemoglobin being released into circulation after red blood cells break open, which can damage other organs such as the kidneys
Malaria can also be transmitted from a mother to her unborn baby (congenitally) and by blood transfusions. Malaria can be carried by mosquitoes in temperate climates, but the parasite disappears over the winter.

The disease is a major health problem in much of the tropics and subtropics. The Centers for Disease Control and Prevention reported that in 2020 there were about 241 million cases of malaria. About 627,000 people died of it. Malaria is a major disease hazard for travelers to warm climates.

In some areas of the world, mosquitoes that carry malaria have developed resistance to insecticides. In addition, the parasites have developed resistance to some antibiotics. These conditions have made it hard to control both the rate of infection and spread of this disease."
malaria,Healthline,"Malaria can occur if a mosquito infected with the Plasmodium parasite bites you. There are four kinds of malaria parasites that can infect humans: Plasmodium vivax, P. ovale, P. malariae, and P. falciparum.

P. falciparum causes a more severe form of the disease and those who contract this form of malaria have a higher risk of death. An infected mother can also pass the disease to her baby at birth. This is known as congenital malaria.

Malaria is transmitted by blood, so it can also be transmitted through:

an organ transplant
a transfusion
use of shared needles or syringes"
migraine,MayoClinic,"Though migraine causes aren't fully understood, genetics and environmental factors appear to play a role.

Changes in the brainstem and its interactions with the trigeminal nerve, a major pain pathway, might be involved. So might imbalances in brain chemicals — including serotonin, which helps regulate pain in your nervous system.

Researchers are studying the role of serotonin in migraines. Other neurotransmitters play a role in the pain of migraine, including calcitonin gene-related peptide (CGRP).

Migraine triggers
There are a number of migraine triggers, including:

Hormonal changes in women. Fluctuations in estrogen, such as before or during menstrual periods, pregnancy and menopause, seem to trigger headaches in many women.

Hormonal medications, such as oral contraceptives, also can worsen migraines. Some women, however, find that their migraines occur less often when taking these medications.

Drinks. These include alcohol, especially wine, and too much caffeine, such as coffee.
Stress. Stress at work or home can cause migraines.
Sensory stimuli. Bright or flashing lights can induce migraines, as can loud sounds. Strong smells — such as perfume, paint thinner, secondhand smoke and others — trigger migraines in some people.
Sleep changes. Missing sleep or getting too much sleep can trigger migraines in some people.
Physical strain. Intense physical exertion, including sexual activity, might provoke migraines.
Weather changes. A change of weather or barometric pressure can prompt a migraine.
Medications. Oral contraceptives and vasodilators, such as nitroglycerin, can aggravate migraines.
Foods. Aged cheeses and salty and processed foods might trigger migraines. So might skipping meals.
Food additives. These include the sweetener aspartame and the preservative monosodium glutamate (MSG), found in many foods."
migraine,MedlinePlus,"Researchers believe that migraine has a genetic cause. There are also a number of factors that can trigger a migraine. These factors vary from person to person, and they include:

Stress
Anxiety
Hormonal changes in women
Bright or flashing lights
Loud noises
Strong smells
Medicines
Too much or not enough sleep
Sudden changes in weather or environment
Overexertion (too much physical activity)
Tobacco
Caffeine or caffeine withdrawal
Skipped meals
Medication overuse (taking medicine for migraines too often)
Some people have found that certain foods or ingredients can trigger headaches, especially when they are combined with other triggers. These foods and ingredients include:

Alcohol
Chocolate
Aged cheeses
Monosodium glutamate (MSG)
Some fruits and nuts
Fermented or pickled goods
Yeast
Cured or processed meats"
migraine,Healthline,"Researchers haven’t identified a definitive cause for migraine. But experts believe a combination of genetics, hormones, and irregular brain activity all play a role. These factors likely contribute to affecting nerve signaling, chemicals, and blood vessels in the brain.

What can trigger a migraine attack?
More than three-quarters of people with migraine report that something triggers their migraine attacks. These could be things in their diet, changes in their environment, or other events.

While migraine triggers can be very personal, commonly reported triggers include:

bright lights
severe heat, or other extremes in weather
dehydration
changes in barometric pressure
hormone changes in people assigned female at birth, like estrogen and progesterone fluctuations during menstruation, pregnancy, or menopause
excess stress
loud sounds
intense physical activity
skipping meals
changes in sleep patterns
use of certain medications, like oral contraceptives or nitroglycerin
unusual smells
certain foods
smoking
alcohol use
traveling

If you experience a migraine attack, a doctor may ask you to keep a headache journal. Writing down what you were doing, what foods you ate, and what medications you took before your migraine attack began can help identify your triggers."
appendicitis,MayoClinic,"A blockage in the lining of the appendix, called the lumen, is the likely cause of appendicitis. This blockage can cause an infection. The bacteria then multiply quickly, causing the appendix to become inflamed, swollen and filled with pus. If not treated right away, the appendix may burst or break open."
appendicitis,MedlinePlus,"Appendicitis is a very common reason for emergency surgery. The problem most often occurs when the appendix becomes blocked by feces, a foreign object, a tumor or a parasite in rare cases."
appendicitis,Healthline,"In many cases, the exact cause of appendicitis is unknown. Experts believe it develops when part of the appendix becomes obstructed or blocked.

Many things can potentially blockTrusted Source your appendix, including:

a buildup of hardened stool
enlarged lymphoid follicles
intestinal worms
traumatic injury
tumors"
diarrhea,MayoClinic,"A number of diseases and conditions can cause diarrhea, including:

Viruses. Viruses that can cause diarrhea include Norwalk virus, also known as norovirus, enteric adenoviruses, astrovirus, cytomegalovirus and viruses that cause hepatitis. Rotavirus is a common cause of sudden childhood diarrhea. The virus that causes coronavirus disease 2019 (COVID-19) also has been linked to gastrointestinal symptoms, including nausea, vomiting and diarrhea.
Bacteria and parasites. Exposure to certain bacteria, such as Escherichia coli, or parasites through contaminated food or water can lead to diarrhea. When traveling in developing countries, diarrhea caused by bacteria or parasites is often called traveler's diarrhea. Clostridioides difficile, also known as C. diff, is another bacterium that causes diarrhea, and it can occur after a course of antibiotics or during a hospital stay.
Medicines. Many medicines, such as antibiotics, can cause diarrhea. Antibiotics get rid of infections by killing bacteria that cause illness, but they also kill good bacteria that are helpful in the body. This disturbs the natural balance of bacteria in the intestines, leading to diarrhea or an infection such as C. diff. Other medicines that cause diarrhea are anticancer drugs and antacids with magnesium.
Lactose intolerance. Lactose is a sugar found in milk and other dairy products. People who have trouble digesting lactose often have diarrhea after eating dairy products. Lactose intolerance can increase with age because levels of the enzyme that helps digest lactose become lower as people get older.
Fructose. Fructose is a sugar found naturally in fruits and honey. It's sometimes added as a sweetener to certain beverages. Fructose can lead to diarrhea in people who have trouble digesting it.
Artificial sweeteners. Sorbitol, erythritol and mannitol — nonabsorbable sugars used as artificial sweeteners in chewing gum and other sugar-free products — can cause diarrhea in some otherwise healthy people.
Surgery. Partial intestine or gallbladder removal surgeries can sometimes cause diarrhea.
Other digestive disorders. Chronic diarrhea has a number of other causes, such as IBS, Crohn's disease, ulcerative colitis, celiac disease, microscopic colitis and small intestinal bacterial overgrowth (SIBO)."
diarrhea,MedlinePlus,"The most common causes of diarrhea include:

Bacteria from contaminated food or water
Viruses such as the flu, norovirus, or rotavirus . Rotavirus is the most common cause of acute diarrhea in children.
Parasites, which are tiny organisms found in contaminated food or water
Medicines such as antibiotics, cancer drugs, and antacids that contain magnesium
Food intolerances and sensitivities, which are problems digesting certain ingredients or foods. An example is lactose intolerance.
Diseases that affect the stomach, small intestine, or colon, such as Crohn's disease
Problems with how the colon functions, such as irritable bowel syndrome

Some people also get diarrhea after stomach surgery, because sometimes the surgeries can cause food to move through your digestive system more quickly.

Sometimes no cause can be found. If your diarrhea goes away within a few days, finding the cause is usually not necessary."
diarrhea,Healthline,"You may experience diarrhea because of several conditions or circumstances. Potential causes of diarrhea include:

viral infections including rotavirus, norovirus, and viral gastroenteritis
bacterial infections, including Salmonella and E. coli
parasitic infections
intestinal diseases
a food intolerance, such as lactose intolerance
an adverse reaction to a medication
gallbladder or stomach surgery

Rotavirus is the most common cause of acute diarrhea globally. According to the Centers for Disease Control and Prevention (CDC), this infection causes around 40 percent of hospitalizations in children under 5 years old. Globally, most diarrhea deaths are the result of contaminated water supplies and insufficient sanitation.

In the United States, you are more likely to develop diarrhea due to food poisoning from eating contaminated foodstuffs. According to the CDC, annually there are close to 48 million diarrheal illnesses caused by contaminated food in the United States.

Chronic diarrhea may be a symptom of a more severe condition such as irritable bowel syndrome or inflammatory bowel disease. Frequent and severe diarrhea could be a sign of intestinal disease or a functional bowel disorder."
endometriosis,MayoClinic,"The exact cause of endometriosis isn't clear. But some possible causes include:

Retrograde menstruation. This is when menstrual blood flows back through the fallopian tubes and into the pelvic cavity instead of out of the body. The blood contains endometrial cells from the inner lining of the uterus. These cells may stick to the pelvic walls and surfaces of pelvic organs. There, they might grow and continue to thicken and bleed over the course of each menstrual cycle.
Transformed peritoneal cells. Experts suggest that hormones or immune factors might help transform cells that line the inner side of the abdomen, called peritoneal cells, into cells that are like those that line the inside of the uterus.
Embryonic cell changes. Hormones such as estrogen may transform embryonic cells — cells in the earliest stages of development — into endometrial-like cell growths during puberty.
Surgical scar complication. Endometrial cells may attach to scar tissue from a cut made during surgery to the stomach area, such as a C-section.
Endometrial cell transport. The blood vessels or tissue fluid system may move endometrial cells to other parts of the body.
Immune system condition. A problem with the immune system may make the body unable to recognize and destroy endometriosis tissue."
endometriosis,MedlinePlus,"Every month, a woman's ovaries produce hormones that tell the cells lining the uterus to swell and get thicker. Your uterus sheds these cells along with blood and tissue through your vagina when you have your period.

Endometriosis occurs when these cells grow outside the uterus in other parts of your body. This tissue may attach on your:

Ovaries
Fallopian tubes
Bowel
Rectum
Bladder
Lining of your pelvic area

It can grow in other areas of the body, too.

These growths stay in your body, and like the cells in the lining of your uterus, these growths react to the hormones from your ovaries. This may cause you to have pain during the month prior to the onset of your period. Over time, the growths may add more tissue and blood. Growths can also build up in the abdomen and pelvis, leading to chronic pelvic pain, heavy cycles, and infertility.

The cause of endometriosis is unknown. One idea is that when you get your period, the cells may travel backwards through the fallopian tubes into the pelvis. Once there, the cells attach and grow. However, this backward period flow occurs in many women. The immune system may play a role in causing endometriosis in women with the condition.

Endometriosis is common. It occurs in about 10% of women of reproductive age. Sometimes, it may run in families. Endometriosis probably starts when a woman begins having periods. However, it usually is not diagnosed until ages 25 to 35.

You are more likely to develop endometriosis if you:

Have a mother or sister with endometriosis
Started your period at a young age
Never had children
Have frequent periods, or they last 7 or more days"
endometriosis,Healthline,"During a regular menstrual cycle, your body sheds the lining of your uterus. This allows menstrual blood to flow from your uterus through the small opening in the cervix and out through your vagina.

The exact cause of endometriosis isn’t known. There are severa theories regarding the cause, although no one theory has been scientifically proven.

One of the oldest theories is that endometriosis occurs due to a process called retrograde menstruation, which 90 percent of women experience, according to research. This happens when menstrual blood flows back through your fallopian tubes into your pelvic cavity instead of leaving your body through the vagina.

Another theory is that hormones transform the cells outside the uterus into cells similar to those lining the inside of the uterus, which are known as endometrial cells.

Others believe the condition may occur if small areas of your abdomen convert into endometrial-like tissue. This may happen because cells in your abdomen grow from embryonic cells, which can change shape and act like endometrial cells. It’s not known why this occurs.

These displaced endometrial cells may be on your pelvic walls and the surfaces of your pelvic organs, such as your bladder, ovaries, and rectum. They continue to grow, thicken, and bleed over the course of your menstrual cycle in response to the hormones of your cycle.

It’s also possible for the menstrual blood to leak into the pelvic cavity through a surgical scar, such as after a cesarean delivery, also commonly called a C-section.

Another theory is that the endometrial cells are transported out of the uterus through the lymphatic system. Still another theory purports it may be due to the immune system not working properly in destroying errant endometrial cells.

Some believe endometriosis might start in the fetal period with misplaced cell tissue that begins to respond to the hormones of puberty. This is often called Mullerian theory.

The development of endometriosis might also be linked to genetics or even environmental toxins."
epilepsy,MayoClinic,"Epilepsy has no identifiable cause in about half the people with the condition. In the other half, the condition may be traced to various factors, including:

Genetic influence. Some types of epilepsy run in families. In these instances, it's likely that there's a genetic influence. Researchers have linked some types of epilepsy to specific genes. But some people have genetic epilepsy that isn't hereditary. Genetic changes can occur in a child without being passed down from a parent.

For most people, genes are only part of the cause of epilepsy. Certain genes may make a person more sensitive to environmental conditions that trigger seizures.

Head trauma. Head trauma as a result of a car accident or other traumatic injury can cause epilepsy.
Factors in the brain. Brain tumors can cause epilepsy. Epilepsy also may be caused by the way blood vessels form in the brain. People with blood vessel conditions such as arteriovenous malformations and cavernous malformations can have seizures. And in adults older than age 35, stroke is a leading cause of epilepsy.
Infections. Meningitis, HIV, viral encephalitis and some parasitic infections can cause epilepsy.
Injury before birth. Before they're born, babies are sensitive to brain damage that could be caused by several factors. They might include an infection in the mother, poor nutrition or not enough oxygen. This brain damage can result in epilepsy or cerebral palsy.
Developmental conditions. Epilepsy can sometimes occur with developmental conditions. People with autism are more likely to have epilepsy than are people without autism. Research also has found that people with epilepsy are more likely to have attention-deficit/hyperactivity disorder (ADHD) and other developmental conditions. Having both conditions may be related to genes."
epilepsy,MedlinePlus,"Epilepsy has many possible causes, including illness, brain injury, and abnormal brain development. In many cases, the cause is unknown."
epilepsy,Healthline,"In about half of people with epilepsy, the cause cannot be determined, per the WHO. A variety of factors can contribute to the development of seizures, such as:

traumatic brain injury or other head trauma
brain scarring after a brain injury (post-traumatic epilepsy)
serious illness or very high fever
stroke, which causes about half of epilepsy cases in older adults when there’s no identifiable cause, according to the CDC
lack of oxygen to the brain
brain tumor or cyst
dementia, including Alzheimer’s disease
maternal use of some drugs, prenatal injury, brain malformation, or lack of oxygen at birth
infectious conditions like HIV and AIDS and meningitis
genetic or developmental disorders or neurological diseases"
fever,MayoClinic,"Typical body temperature is a balance of heat production and heat loss. An area in the brain called the hypothalamus (hi-poe-THAL-uh-muhs) — also known as your body's ""thermostat"" — monitors this balance. Even when you're healthy, your body temperature varies slightly throughout the day. It can be lower in the morning and higher in the late afternoon and evening.

When your immune system responds to disease, the hypothalamus can set your body temperature higher. This prompts complex processes that produce more heat and restrict heat loss. The shivering you might experience is one way the body produces heat. When you wrap up in a blanket because you feel chilled, you are helping your body retain heat.

Fevers below 104 F (40 C) associated with common viral infections, such as the flu, may help the immune system fight disease and are generally not harmful.

Fever or elevated body temperature might be caused by:

A viral infection
A bacterial infection
Heat exhaustion
Certain inflammatory conditions such as rheumatoid arthritis — inflammation of the lining of your joints (synovium)
A cancerous (malignant) tumor
Some medications, such as antibiotics and drugs used to treat high blood pressure or seizures
Some immunizations, such as the diphtheria, tetanus and acellular pertussis (DTaP), pneumococcal or COVID vaccine"
fever,MedlinePlus,"A fever is a body temperature that is higher than normal. A normal temperature can vary from person to person, but it is usually around 98.6 °F (37 °C). A fever is not a disease. It is usually a sign that your body is trying to fight an illness or infection.

Infections cause most fevers. You get a fever because your body is trying to kill the virus or bacteria that caused the infection. Most of those bacteria and viruses do well when your body is at your normal temperature. But if you have a fever, it is harder for them to survive. Fever also activates your body's immune system.

Other causes of fevers include:

Medicines, including some antibiotics, blood pressure medicines, and anti-seizure medicines
Heat illness
Cancers
Autoimmune diseases
Some childhood vaccines"
fever,Healthline,"Fever occurs when a part of the brain called the hypothalamus shifts the set point of your normal body temperature upward. When this happens, you may feel chilled and add layers of clothing, or you may start shivering to generate more body heat. This eventually results in a higher body temperature.

There are numerous different conditions that can trigger a fever. Some possible causes include:

infections, including the flu and pneumonia
some immunizations, such as diphtheria or tetanus (in children)
teething (in infants)
some inflammatory diseases, including rheumatoid arthritis (RA) and Crohn’s disease
blood clots
extreme sunburn
food poisoning
some medications, including antibiotics
Depending on the cause of the fever, additional symptoms may include:

sweating
shivering
headache
muscle aches
loss of appetite
dehydration
general weakness"
fibromyalgia,MayoClinic,"Many researchers believe that repeated nerve stimulation causes the brain and spinal cord of people with fibromyalgia to change. This change involves an abnormal increase in levels of certain chemicals in the brain that signal pain.

In addition, the brain's pain receptors seem to develop a sort of memory of the pain and become sensitized, meaning they can overreact to painful and nonpainful signals.

There are likely many factors that lead to these changes, including:

Genetics. Because fibromyalgia tends to run in families, there may be certain genetic mutations that may make you more susceptible to developing the disorder.
Infections. Some illnesses appear to trigger or aggravate fibromyalgia.
Physical or emotional events. Fibromyalgia can sometimes be triggered by a physical event, such as a car accident. Prolonged psychological stress may also trigger the condition."
