Disease,Cause
fever,"According to the provided sources:

The main causes of fever include:

1. Infections (including the flu and pneumonia)
2. Immunizations (such as diphtheria, tetanus, and acellular pertussis in children)
3. Teething (in infants)
4. Inflammatory diseases, such as:
   - Rheumatoid arthritis (RA)
   - Crohn's disease
   - Autoimmune diseases
5. Medications, including:
   - Antibiotics
   - Blood pressure medicines
   - Anti-seizure medicines

Note that MedlinePlus mentions additional causes such as cancers, but it does not seem to be the primary cause of fever."
fibromyalgia,"Based on the provided information from trusted sources (MayoClinic, MedlinePlus, Healthline), the main causes of fibromyalgia are:

1. **Genetic factors**: Fibromyalgia tends to run in families, suggesting that genetic mutations or variations could play a role in the development of the condition.
2. **Infections**: Certain infections, such as flu, pneumonia, Epsteing-Barr virus, gastrointestinal infections, and others, may trigger or exacerbate fibromyalgia.
3. **Trauma**: Severe physical or emotional trauma can lead to the development of fibromyalgia, and it has been linked to post-traumatic stress disorder (PTSD).
4. **Stress**: Chronic stress, including hormonal changes, may contribute to the development of fibromyalgia.
5. **Environmental factors**: Nongenetic factors, such as physical inactivity, obesity, and sleep disturbances, may also play a role in the development of fibromyalgia.
6. **Interplay between genetic and environmental factors**: It's likely that both genetic predisposition and environmental factors interact to determine the overall risk of developing fibromyalgia.

It's worth noting that while these causes are thought to contribute to the development of fibromyalgia, the exact cause remains unknown, and more research is needed to understand the underlying mechanisms."
gallstones,"According to the provided information, the main causes of gallstones are:

1. Excess cholesterol in the bile: This can lead to the formation of yellow cholesterol stones, which make up approximately 4 in 5 gallstones.
2. Excess bilirubin in the bile: This can lead to the formation of pigment stones, which are often dark brown or black and result from the liver's inability to adequately break down excess bilirubin.

Both of these excessive substances can contribute to the formation of gallstones, primarily due to the inability of the liver and gallbladder to function properly."
GERD,"The main causes of GERD (Gastroesophageal Reflux Disease) are closely related to the dysfunction of the lower esophageal sphincter (LES). Some of the key factors that can interfere with LES function include:

1. Hiatal hernia: When part of the stomach pushes above the diaphragm, weakening its ability to support the LES.
2. Overeating: Consuming large meals can stretch the stomach, reducing pressure on the LES and allowing reflux.
3. Lying down after eating: This position can reduce the pressure needed for the LES to stay closed.
4. Other lifestyle factors:
   - Smoking or exposure to secondhand smoke
   - Consuming large meals close to bedtime
   - Frequent use of NSAIDs like aspirin and ibuprofen
5. Health factors:
   - Obesity
   - Pregnancy
   - Connective tissue disorders
   - Older age"
heart attack,"According to the provided trusted information from MayoClinic and Healthline, the main causes of a heart attack are:

1. **Coronary heart disease**: This is where plaque builds up in the arteries that supply blood to the heart, also known as atherosclerosis.
2. **Type I heart attacks**: Plaque on the inner wall of the artery ruptures, releasing cholesterol and other substances into the bloodstream, forming a blood clot and blocking the artery (usually ST elevation myocardial infarction, STEMI).
3. **Type II heart attacks**: The heart does not receive as much oxygen-rich blood as it needs, but there is not a complete blockage of an artery (non-ST elevation myocardial infarction, NSTEMI).

Additionally, other causes of heart attacks include:

- Torn blood vessels
- Blood vessel spasms (coronary artery spasm)
- Drug misuse
- Hypoxia (lack of oxygen in the blood)

It's also worth noting that other possible causes mentioned in the text include:

* Certain infections (e.g. COVID-19)
* Spontaneous coronary artery dissection (SCAD)
* Coronary artery spasm (other names for Prinzmetal's angina, vasospastic angina, or variant angina)

These causes can contribute to a heart attack, but the leading cause remains coronary heart disease."
hemorrhoids,"According to the information from trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of hemorrhoids are:

1. Straining during bowel movements
2. Constipation
3. Sitting for long periods of time, especially on the toilet
4. Certain diseases, such as cirrhosis
5. Family history of hemorrhoids (as it may be inherited)
6. Chronic diarrhea or diarrhea/prescription changes."
hepatitis A,"Based on the provided information, the main causes of hepatitis A are:

1. Fecal-oral transmission: This occurs when infected stool, even tiny amounts, enters the mouth of another person. This can happen through eating food contaminated with infected stool or drinking contaminated water.

2. Casual contact with an infected person: Being in close contact with someone who has hepatitis A can lead to transmission, even if that person has no symptoms.

3. Contaminated food and water: Eating food handled by someone with the virus who didn't thoroughly wash their hands after using the toilet, drinking contaminated water, or eating food washed in contaminated water can lead to transmission."
hepatitis B,"The main causes of hepatitis B based on the provided information are:

1. Direct contact with infected bodily fluids:
   - Blood (through needles, cuts, or puncture wounds)
   - Semen (during unprotected sex)
   - Vaginal fluids (during unprotected sex)
   - Saliva (though it's not transmitted, in rare cases)
   - Other body fluids that may be infected with the virus

2. Transmission from person to person:
   - Intimate contact (with an infected partner without using a condom)
   - Sharing needles or equipment used to inject illicit drugs
   - Accidental needlestick or sharps injuries
   - Exposure to infected blood through work (for healthcare workers)
   - Being born to a hepatitis B-infected mother

3. Healthcare-related risks:
   - Improper disposal of sharps or needles
   - Sharing equipment without proper sterilization

4. High-risk behaviors:
   - Having unprotected sex or sharing personal items with someone who has the virus
   - Receiving blood transfusions (although this is rare in the United States due to screening of all blood used for transfusions)"
hepatitis C,"The main causes of hepatitis C according to the trusted information provided are:

1. Blood-to-blood contact: The virus can spread through the following methods:
   - Using nonsterile needles or syringes
   - Receiving a blood transfusion (although rare in the U.S. since blood screening became available in 1992)
   - Sharing personal hygiene items like razors, toothbrushes, or clippers (for tattooing and piercing equipment) (for tattooing, piercing, and tattooed acupuncture)
   - Receiving an organ transplant (donated from a patient with HCV)

2. Sharing injection equipment or supplies (with someone who has HCV)

3. Unprotected sexual contact with a person who has HCV

4. Mothers passing the infection to their children during pregnancy or childbirth (although this form of transmission is often associated with vertical transmission in the womb)

5. Passing the infection to someone through organ or blood products before a specific time period (the exact time periods provided in the text are before 1992 and before 1987), and people that received certain health care 
6. HIV co-infection and people that had injection drug use"
hernia,"Based on the information from MayoClinic, MedlinePlus, and Healthline, the main causes of hernia that have been identified are:

1. Muscle weakness or strain
2. Certain congenital conditions present from birth due to developmental issues in the womb
3. Aging
4. Injuries or complications from surgery
5. Intense physical activity or heavy lifting
6. Persistent coughing or chronic obstructive pulmonary disease (COPD)
7. Pregnancy, particularly with multiple pregnancies
8. Constipation, causing straining during bowel movements
9. Being overweight or obese
10. Abdominal fluid buildup (ascites)
11. Certain risk factors include:
   a. Premature birth or low birth weight
   b. Older age
   c. Chronic coughing (due to repeated pressure on the abdomen)
   d. Cystic fibrosis
   e. Pregnancy
   f. Persistent constipation
   g. Excess weight or obesity
   h. Smoking, which weakens connective tissues
   i. A personal or family history of hernias

These causes can contribute to a gradual or rapid development of a hernia, depending on the underlying cause."
HIV,"Based on the provided information from trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of HIV are:

1. Unprotected sexual contact (vaginal or anal sex) with a person who has HIV: This is the most common way HIV is spread.
2. Sharing of drug needles and injecting illicit drugs.
3. Contact with the blood of a person with HIV.
4. Mother to child transmission during pregnancy, childbirth, or breastfeeding."
hives,"According to the information provided, the main causes of hives can include:

1. Allergic reactions 
   - Animal dander (especially from cats)
   - Insect bites
   - Medicines
   - Pollen
   - Foods (such as shellfish, fish, nuts, eggs, milk, and other foods)

2. Non-allergic factors and conditions:
   - Stress
   - Tight clothes
   - Exercise
   - Illnesses or infections
   - Exposure to hot or cold temperatures
   - Excessive sweating 

3. Sometimes, the actual cause of hives cannot be determined."
kidney stones,"Based on the information provided, there are several main causes of kidney stones. According to the text, they include:

1. Imbalance of substances in urine: Kidney stones form when the urine contains more crystal-forming substances (such as calcium, oxalate, and uric acid) than the fluid in the urine can dilute.
2. Lack of substances that prevent crystal formation: The urine may lack substances that prevent crystals from sticking together, creating an ideal environment for kidney stones to form.
3. Genetic factors: Certain genetic changes can increase the risk of developing kidney stones by altering the levels of minerals and compounds in cells, leading to an imbalance in urine.
4. Environmental and lifestyle factors:
   - Dehydration (too little water in the body)
   - Diet:
     - High oxalate content from foods like fruits, vegetables, nuts, and chocolate
     - High protein, salt, or glucose diet
     - Calcium-deficient diet
   - Medications:
     - Diuretics, which increase urine production and lead to dehydration
     - Calcium antacids, which neutralize stomach acids and can increase the risk of developing stones
5. Underlying health conditions:
   - Hypercalciuria (high levels of calcium in the urine)
   - Obesity
   - Type 2 diabetes
   - Inflammatory bowel disease
   - Gout
   - Hyperparathyroidism
   - Recurrent urinary tract infections"
obesity,"According to the provided information, the main causes of obesity are:

1. Genetics: Imbalances in the body's metabolism and fat storage can lead to obesity due to genetic factors.
2. Loss of muscle mass and slow metabolic rate: As people age, they may experience less muscle mass, which can lead to a slower metabolism and make it easier to gain weight.
3. Poor diet quality and high calorie intake: Consuming more calories than the body burns through daily activities and exercise can lead to obesity.
4. Lack of physical activity and sedentary lifestyle: With the increased use of conveniences such as remote controls, escalators, and online shopping, people may not be burning enough calories through their daily activities.
5. Medical conditions: Certain health conditions, such as metabolic syndrome, polycystic ovary syndrome (PCOS), Prader-Willi syndrome, Cushing syndrome, hypothyroidism, and osteoarthritis, can increase the risk of obesity.
6. Hormonal imbalances: Conditions like hypothyroidism, menopause, and pregnancy can cause hormonal imbalances that lead to weight gain and obesity.
7. Lifestyle factors:
   - Eating more than the body needs, especially due to stress or anxiety.
   - Feeling hungry sooner or eating more calories before feeling full.
   - Limited access to healthy foods and lack of time to plan and make healthy meals.
   - Not getting enough sleep.
   - High stress levels.
   - Not getting enough"
osteoarthritis,"Based on the trusted information provided, the main causes of osteoarthritis can be summarized as follows:

1. Gradual joint and cartilage damage: The main cause of osteoarthritis is the gradual deterioration of the cartilage that cushions the ends of bones in the joints, leading to bones rubbing against each other.

2. Genetic factors: Genetic variations affect the amount, timing, and location of gene activity, especially genes involved in the formation and maintenance of bone and cartilage. These genetic changes can combine to increase the risk of developing the disorder, even with small effects.

3. Environmental and lifestyle factors:
   - Obesity
   - Injuries such as torn cartilage, dislocated joints, or ligament injuries
   - Age 50 years and older
   - Sex (being assigned female at birth)
   - Occupations that involve repetitive joint stress (kneeling, climbing, heavy lifting, etc.)
   - Presence of another medical condition that affects joint health

4. The imbalance between buildup and breakdown of cartilage: In osteoarthritis, the balance between the buildup and breakdown of cartilage is lost, leading to cartilage damage and overall breakdown.

5. Body's failed attempts to repair damage: The condition is thought to be the result of the body's failed attempts to repair joint damage, which can trigger an immune response, causing inflammation of other joint tissues and leading to further joint damage.

Note that these causes are not mutually exclusive, and it is"
osteoporosis,"According to the trusted sources (MayoClinic, MedlinePlus, and Healthline) mentioned, the main causes of osteoporosis include:

1. Insufficient calcium intake: Not consuming enough calcium to build new bone tissue.
2. Lack of vitamin D: Vitamin D helps the body absorb calcium, and a deficiency in vitamin D can lead to bone loss.
3. Reduced estrogen levels: Decreased estrogen in women during menopause and decreased testosterone in men as they age.
4. Prolonged bed rest: Confined to a bed due to a prolonged illness, primarily affecting bones in children.
5. Chronic inflammatory conditions: Medical conditions that cause increased inflammation in the body, such as Crohn's disease or rheumatoid arthritis.
6. Certain medications: Taking certain medicines, such as:
   - Seizure medications
   - Hormone therapies for prostate or breast cancer
   - Steroid medicines taken for more than 3 months

Additionally, some sources mention other contributing factors, including:

* Failure to absorb enough calcium and vitamin D
* Certain medical conditions that can lead to increased inflammation
* Increased risk factors such as family history of osteoporosis

However, the main causes can be summarized to a combination of:

* Inadequate intake of calcium and vitamin D
* Hormonal changes, particularly decreased estrogen in women and testosterone in men
* Certain medical conditions and medications that can weaken bones."
Parkinson's disease,"Based on the information provided from the trusted sources MayoClinic and MedlinePlus (also Healthline), the causes of Parkinson's disease are not fully known, but research suggests several factors that may contribute to its development. The main causes and risk factors include:

1. Genetics: Specific genetic mutations are linked to Parkinson's disease. However, these are rare unless many family members have had the disease.
2. Environmental factors: Exposure to certain toxins, pesticides, and other environmental factors may increase the risk of developing Parkinson's disease. Examples include:
   - MPTP (a substance sometimes found in illegal drugs)
   - Pesticides
   - Well water used for drinking
3. Age: Parkinson's disease most often develops after age 60, with a higher prevalence between 50 and 60 years.
4. Sex: Men are one and a half times more likely to develop Parkinson's disease than women.
5. Family history: People with close family members who have Parkinson's disease are more likely to develop the condition.
6. Head injury: People who experience head injuries may be at a higher risk of developing Parkinson's disease.

It is essential to note that no single cause has been identified, and many other factors may contribute to the development of Parkinson's disease."
psoriatic arthritis,"Based on the information from the credible sources (MayoClinic, MedlinePlus, and Healthline), the main causes of psoriatic arthritis are:

1. Genetic factors: Psoriatic arthritis has a family history component, and researchers have identified genetic markers associated with the condition. Genetic variations, such as those in the HLA complex and other immune-related genes, are thought to contribute to the risk of developing psoriatic arthritis.
2. Environmental factors: Physical trauma, viral or bacterial infections, extreme stress, and injury are thought to trigger psoriatic arthritis in people with an inherited tendency.
3. Immune system dysfunction: Psoriatic arthritis likely results from excessive inflammation in the joints and skin, which is caused by the immune system's misguided attack on healthy cells and tissue.
4. Triggering events: Specific triggers, such as a viral or bacterial infection, injury, or extreme stress, may set off the immune response that leads to psoriatic arthritis in people with an underlying genetic predisposition.

Overall, it appears that psoriatic arthritis is the result of a combination of genetic and environmental factors, with an abnormal immune response leading to excessive inflammation in the joints and skin."
cirrhosis,"According to the reputable sources provided (MayoClinic, MedlinePlus, and Healthline), the main causes of cirrhosis are:

1. **Chronic alcohol abuse**: Long-term alcohol consumption can damage the liver.
2. **Persistent viral hepatitis** (types B, C, and D): Ongoing viral hepatitis infections can lead to liver damage.
3. **Nonalcoholic fatty liver disease** (NAFLD): A condition characterized by fat buildup in the liver, often related to being overweight, high blood pressure, diabetes, or pre-diabetes.
4. **Hemochromatosis**: Excessive iron accumulation in the body, causing damage to liver tissue.
5. **Autoimmune hepatitis**: A liver disease where the immune system attacks liver cells.
6. **Genetic conditions**: Certain genetic disorders, such as alpha-1 antitrypsin deficiency, cystic fibrosis, Alagille syndrome, and inherited disorders of sugar metabolism, can increase the risk of cirrhosis.

These factors can progressively damage liver tissue, leading to cirrhosis, a condition often referred to as the end result of chronic liver disease."
delirium,"Based on the provided information from Mayo Clinic, MedlinePlus, and Healthline, the main causes of delirium can be summarized as:

1. Medical conditions:
   - Stroke
   - Heart attack
   - Worsening lung or liver disease
   - Injury from a fall
   - Severe, long-lasting illness or death
   - Fever and a new infection
   - Urinary tract infection
   - Pneumonia
   - The flu or COVID-19, especially in older adults

2. Medication-related factors:
   - Certain medicines or side effects
   - Abuse or withdrawal of alcohol or drugs
   - Medicines that treat:
     - Pain
     - Sleep problems
     - Mood disorders
     - Allergies
     - Asthma
     - Swelling
     - Parkinson's disease
     - Spasms or convulsions
   - Up to 39% of cases are caused by medication side effects

3. Lifestyle factors:
   - Lack of sleep
   - Severe emotional distress
   - Pain
   - General anesthesia and surgery
   - Poor nutrition or dehydration

4. Other factors:
   - Infections, including urinary tract infections, pneumonia, and meningitis
   - Electrolyte or body chemical disturbances
   - Poisoning
   - Blockage of dopamine or serotonin due to medications or other factors
   - Imbalance in the body, such as low sodium or"
epilepsy,"The main causes of epilepsy are:

1. **Unknown/Unidentifiable causes**: In about half of the people with epilepsy, the cause cannot be determined.
2. **Genetic factors**: Some forms of epilepsy are hereditary, suggesting a genetic component. Researchers have identified specific genes associated with certain types of epilepsy.
3. **Head trauma**: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.
4. **Brain-related factors**: Brain tumors and abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy.
5. **Infections**: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.
6. **Prenatal injury**: The developing brain of a fetus is particularly vulnerable to damage from maternal infections, poor nutrition, or oxygen deprivation, potentially leading to epilepsy or cerebral palsy.
7. **Developmental conditions**: Epilepsy often occurs alongside developmental disorders, such as autism, ADHD, or other neurodevelopmental conditions.

Additional factors that can contribute to the development of seizures include:

* **Traumatic brain injury or other head trauma**
* **Serious illness or very high fever**
* **Stroke**
* **Lack of oxygen to the brain**
* **Brain tumor or cyst**
* **Dementia, including Alzheimer’s disease**
* **Maternal use of some drugs, prenatal injury, brain"
heart failure,"According to the information provided, the main causes of heart failure are:

1. Coronary artery disease (CAD): This occurs when fatty deposits build up in the arteries, reducing blood flow to the heart, leading to muscle weakness or blockage.

2. High blood pressure: Uncontrolled hypertension can lead to stiffness or weakening of the heart muscle.

These two conditions are often cited as the most common causes of heart failure. However, other factors such as heart attack, inherited heart disease, cardiomyopathy, myocarditis, and some types of abnormal heart rhythms (arrhythmias) may also increase the risk of developing heart failure."
peptic ulcer,"The main causes of peptic ulcers, according to the provided information, are:

1. Helicobacter pylori (H. pylori) infection: This type of bacteria lives in the mucous layer that covers the stomach and small intestine, and it can cause swelling and irritation, leading to inflammation and ulcer formation.

2. Regular use of certain pain relievers, specifically:
   - Aspirin
   - Nonsteroidal anti-inflammatory drugs (NSAIDs)
   - Ibuprofen (Advil, Motrin IB, others)
   - Naproxen sodium (Aleve, Anaprox DS, others)
   - Ketoprofen and others (though it is noted that acetaminophen is not included in NSAIDs)

This prolonged use of these medications can irritate or inflame the lining of the stomach and small intestine, leading to an ulcer.

Smoking and excessive alcohol consumption are also additional risk factors for developing peptic ulcers. However, these are not classified as direct causes of peptic ulcers but rather as risk factors that can lead to the development of the condition."
urinary tract infection (UTI),"The main causes of urinary tract infections (UTIs) as mentioned in the provided information are:

1. Bacteria entering the urinary tract through the urethra, which often begins at the anus due to anatomical proximity.
2. Infection of the bladder, usually caused by Escherichia coli (E. coli), a type of bacteria commonly found in the gastrointestinal tract.
3. Infection of the urethra, which can be caused by:
   - GI bacteria spreading from the anus to the urethra.
   - Sexually transmitted infections such as herpes, gonorrhea, chlamydia, and mycoplasma, often due to close proximity between the urethra and the vagina.
   - Presence of kidney stones, which can create an obstruction and promote bacterial growth.
   - Certain types of cancer, which can cause urinary tract obstructions or blockages.

Other factors that may increase the risk of a UTI, but are not considered the main causes, include:

- Age (especially older adults)
- Reduced mobility
- Pregnancy
- Pregnancy-related hormonal and physical changes
- Weakened immune system
- Abnormal development of urinary structures from birth
- Congenital abnormalities
- Certain conditions such as diabetes
- Certain types of cancer
- Prolonged use of urinary catheters

Understanding these factors can help in prevention and management of UTIs."
melanoma,"According to the information, the main causes of melanoma are:

1. Exposure to ultraviolet (UV) light, particularly from:
   - The sun
   - Tanning lamps
   - Tanning beds

However, it's also mentioned that not all melanomas are caused by UV light, especially those occurring in areas not exposed to sunlight, suggesting that additional factors may also contribute to the risk of melanoma."
gastritis,"According to the provided information from reliable sources like MayoClinic, MedlinePlus, and Healthline, the main causes of gastritis are:

1. Certain medicines, such as aspirin, ibuprofen, or naproxen and other similar drugs
2. Heavy alcohol drinking
3. Infection of the stomach with a bacteria called Helicobacter pylori

These are listed as the most common causes of gastritis."
glaucoma,"According to the provided information, the main causes of glaucoma are:

1. Increased pressure in the eye due to the buildup of fluid (aqueous humor) that flows through the inside of the eye.
2. Damaged or restricted drainage system in the eye, specifically the trabecular meshwork (where fluid normally drains).

More specifically, the following are potential causes of glaucoma:

- Open-angle glaucoma: drainage angle remains open, but other parts of the drainage system don't function properly.
- Acute angle-closure glaucoma: iris bulges and blocks the drainage angle, trapping fluid and increasing eye pressure.
- Normal-tension glaucoma: optic nerve damage with normal eye pressure; may be due to increased sensitivity of the optic nerve or reduced blood flow (possibly due to atherosclerosis or other circulation-related conditions).
- Glaucoma in children: possible causes include blocked drainage, injury, or underlying medical conditions leading to optic nerve damage.
- Pigmentary glaucoma: pigment granules from the iris flake off and obstruct or slow the drainage of fluid, leading to increased eye pressure.

It's worth noting that the exact reasons for glaucoma are not always fully understood, and the causes may be complex and multi-factorial."
tachycardia,"The main causes of tachycardia, as per the provided information, include:

1. Irregular heart rhythms or arrhythmias (e.g., atrial fibrillation)
2. Various factors that affect the body's electrolyte balance, such as:
   - Imbalances in potassium, sodium, calcium, and magnesium
3. Certain medications
4. The following lifestyle habits and substances that can trigger tachycardia:
   - Excessive alcohol consumption (14 or more drinks per week for men, or 7 or more drinks per week for women)
   - High or low blood pressure
   - Overactive thyroid (hyperthyroidism)
   - Anemia (low red blood cell count)
   - Smoking or nicotine use
   - Use of stimulant drugs, such as cocaine or methamphetamine

It's essential to note that sinus tachycardia, which is a fast heart rate caused by factors like exercise or stress, is considered a symptom rather than a standalone medical condition."
