Disease,Cause
fever,"Based on the information provided from Mayo Clinic, MedlinePlus, and Healthline, the main causes of fever are:

1. **Viral infections**: Such as the flu, common viral infections, and various other viral illnesses.
2. **Bacterial infections**: Including pneumonia, which can cause a fever.
3. **Infections**: In general, infections are the primary cause of fever, as they activate the immune system and prompt the body to increase its temperature.
4. **Some immunizations**: Certain vaccines, such as the diphtheria, tetanus, and acellular pertussis (DTaP), pneumococcal, or COVID-19 vaccines, can cause a fever as a side effect.
5. **Medications**: Some medications, including antibiotics, blood pressure medicines, and anti-seizure medicines, can cause a fever as a side effect.
6. **Inflammatory conditions**: Such as rheumatoid arthritis, Crohn's disease, and other conditions that involve inflammation.
7. **Cancers**: Certain types of cancer can cause a fever.
8. **Autoimmune diseases**: Certain autoimmune diseases, although less commonly associated with fever, can trigger a fever.
9. **Heat illness**: Extreme heat or heat exhaustion can cause a fever.
10. **Other conditions**: Such as teething in infants, blood clots, extreme sunburn, and food poisoning, which can also trigger a fever.

Note that these causes are not exhaustive, but they"
fibromyalgia,"The main causes of fibromyalgia are multifaceted and not yet fully understood. However, based on the information provided, the primary factors that contribute to the development of fibromyalgia include:

1. **Genetic predisposition**: Fibromyalgia tends to run in families, suggesting a genetic component. Variations in multiple genes, each with a small effect, may combine to increase the risk of developing the condition.
2. **Triggers**: Triggers can be physical (e.g., infections, injuries, trauma) or emotional (e.g., stress, childhood abuse or neglect, post-traumatic stress disorder). Specific infections linked to fibromyalgia include:
	* Flu
	* Pneumonia
	* Epstein-Barr virus
	* Gastrointestinal infections (Salmonella and Shigella)
	* Trauma (severe physical or emotional stress)
3. **Neurotransmitter imbalance**: Changes in the levels of certain chemicals in the brain that signal pain may contribute to the development of fibromyalgia.
4. **Sensitization of pain receptors**: The brain's pain receptors may develop a memory of pain and become overreactive, leading to increased sensitivity to pain.
5. **Environmental factors**: Physical inactivity, obesity, sleep disturbances, and low job or life satisfaction may also increase the risk of developing fibromyalgia.

It's essential to note that many people who develop fibromyalgia do not have any"
gallstones,"According to the trusted sources, the main causes of gallstones are:

1. **Too much cholesterol in bile**: When the liver produces more cholesterol than the bile can dissolve, excess cholesterol can form into crystals and eventually into gallstones.
2. **Too much bilirubin in bile**: Excess bilirubin is produced when the body breaks down too many red blood cells, leading to the formation of pigment stones in the gallbladder.
3. **Gallbladder failure to empty bile properly**: If the gallbladder doesn't empty its bile content correctly, the bile may become overly concentrated, leading to the formation of gallstones.

Additionally, it's mentioned that gallslone may also be triggered by liver conditions such as cirrhosis and biliary tract infections, as well as certain blood disorders. However, these are not explicitly listed as a main cause."
GERD,"Based on the provided information from Mayo Clinic, MedlinePlus, and Healthline, the main causes of GERD (Gastroesophageal reflux disease) can be categorized into the following:

**Mechanical Causes:**

1. Hiatal hernia: When part of the stomach pushes above the diaphragm, impairing the LES's ability to close.
2. Weakened or malfunctioning lower esophageal sphincter (LES): LES fails to close correctly, allowing stomach contents to flow back into the esophagus.

**Lifestyle Factors:**

1. Overeating: Consuming large meals can stretch the stomach, reducing pressure on the LES and allowing reflux.
2. Frequent use of nonsteroidal anti-inflammatory drugs (NSAIDs) like aspirin and ibuprofen.
3. Smoking or exposure to secondhand smoke.
4. Lying down soon after eating: This can decrease the pressure needed for the LES to function correctly.

**Health Factors:**

1. Obesity
2. Pregnancy
3. Connective tissue disorders
4. Older age
5. Certain health conditions, such as:
   * Anxiety
   * Asthma
   * Irritable bowel syndrome (IBS)

**Dietary Triggers:**

1. High-fat foods (fried and fast foods)
2. Spicy foods
3. Certain fruits and vegetables (citrus, tomatoes, pineapple)
4. Beverages like coffee, tea, and carbonated drinks"
heart attack,"The main causes of heart attack, as per the trusted information from MayoClinic and Healthline, are:

1. **Plaque buildup in arteries**: Cholesterol-containing deposits called plaques that build up in the arteries that supply blood to the heart.
2. **Disruption in the plaque**: When the plaque on the inner wall of the artery ruptures and releases cholesterol and other substances into the bloodstream, causing a blood clot to form and block the artery.
3. **Blocked arteries**: Complete or partial blockage of one or more of the heart (coronary) arteries due to cholesterol-containing deposits.
4. **Blood vessel spasms**: Sudden, severe squeezing of a blood vessel that's not blocked.
5. **Torn blood vessels**: Spontaneous coronary artery dissection (SCAD), which is a life-threatening condition caused by a tear inside a heart artery.
6. **Lack of oxygen in the blood**: Hypoxia, which can cause the heart not to receive enough oxygen-rich blood.
7. **Certain infections**: COVID-19 and other viral infections that may cause damage to the heart muscle.
8. **Other causes**: Such as drug misuse, but these are less common causes of heart attacks."
hemorrhoids,"The main causes of hemorrhoids based on the provided information are:

1. **Straining during bowel movements:** Excessive straining can increase pressure on the veins in the lower rectum, leading to hemorrhoids.
2. **Sitting for long periods of time, especially on the toilet:** Prolonged sitting puts additional pressure on the veins in the anus and can cause them to bulge or swell.
3. **Chronic constipation or diarrhea:** Changes in bowel habits can increase pressure on the anus and veins, leading to hemorrhoids.
4. **Being obese:** Excess weight can put additional pressure on the veins in the anus and lower rectum, making them more prone to swelling and hemorrhoids.
5. **Being pregnant:** An enlarged uterus can press on the vein in the colon, causing it to bulge and leading to hemorrhoids.
6. **Anal intercourse:** Frequent or vigorous anal sex can irritate hemorrhoids, leading to discomfort and bleeding.
7. **Heavy lifting or straining activities:** Regularly lifting heavy items can strain the body, causing increased pressure on the veins in the anus and lower rectum.
8. **Age:** While not a direct cause, being over 50 may increase the risk of developing hemorrhoids due to decreased blood flow, weakened veins, or other age-related factors.
9. **Diseases such as cirrhosis:** Certain underlying medical conditions can put additional pressure on the veins in the anus and lower rectum"
hepatitis A,"Based on the information provided by Mayo Clinic, MedlinePlus, and Healthline, the main causes of hepatitis A are:

1. **Food and water contamination**: Eating food or drinking water contaminated with the hepatitis A virus (HAV).
   a. Food handled by someone with HAV who did not properly wash their hands.
   b. Food washed in contaminated water.
   c. Raw shellfish from water polluted with sewage.
   d. Drinking contaminated water.

2. **Close personal contact**: Being in close contact with a person who has hepatitis A, including:
   a. Having sex with someone who has HAV.
   b. Taking care of someone who is ill with hepatitis A.
   c. Using illegal drugs with someone who has HAV.

These two main causes highlight the importance of proper hygiene practices, like frequent and thorough hand washing, especially for those who work with food or care for someone with hepatitis A."
hepatitis B,"The main causes of hepatitis B are:

1. **Sexual contact**: Having unprotected sex with someone who is infected with the virus.
2. **Sharing needles**: Using needles or syringes that have come into contact with infected blood, such as through injecting illicit drugs.
3. **Accidental needlesticks**: Coming into contact with human blood through a needlestick or sharps injury, especially for healthcare workers.
4. **Pregnant person to newborn**: Passing the virus from an infected pregnant person to their baby during childbirth.
5. **Unclean tattoo or acupuncture equipment**: Getting a tattoo or acupuncture treatment with improperly cleaned or unclean needles.
6. **Sharing personal items**: Sharing personal items, such as toothbrushes, razors, and nail clippers, with someone who has the virus.
7. **Birth from an infected mother**: Being born to a mother who is infected with the hepatitis B virus.

It's worth noting that the virus can also be transmitted through contact with bodily fluids, such as blood, semen, and vaginal fluids."
hepatitis C,"According to the provided information, the main causes of hepatitis C infection are:

1. **Blood-to-blood contact**: Exposure to the blood of an infected person through an open wound, needle stick, or other means.
2. **Sharing needles or equipment**: Using nonsterile needles, syringes, and other supplies to inject or inhale substances, sharing needles for tattooing or piercing, or sharing personal items like razors or toothbrushes.
3. **Unprotected sex**: Engaging in oral, vaginal, or anal sex without a condom or other barrier method with an infected partner.
4. **Medical procedures**: Being born to a mother with HCV, receiving a blood transfusion (rare in the US since 1992), receiving an organ transplant from an infected donor before 1992, or receiving clotting factor concentrates or other blood products before 1987.
5. **Sharing bodily fluids**: Sharing personal items, such as toothbrushes and razors, with someone who has HCV.

Overall, the primary mode of transmission for hepatitis C is through blood-to-blood contact, often through sharing needles or equipment, or unprotected sex with an infected partner."
hernia,"Based on the trusted information provided by MayoClinic, MedlinePlus, and Healthline, the main causes of hernia are:

1. **Congenital conditions**: Present from birth due to developmental issues in the womb.
2. **Aging**: Weakening of muscles with age.
3. **Injuries or complications from surgery**: Damage to the muscles or abdominal tissues.
4. **Intense physical activity or heavy lifting**: Strain on the muscles and abdominal tissues.
5. **Persistent coughing or chronic obstructive pulmonary disease (COPD)**: Repeated pressure on the abdomen.
6. **Pregnancy, particularly multiple pregnancies**: Increased pressure on the abdominal tissues.
7. **Constipation, causing straining during bowel movements**: Repeated strain on the abdominal tissues.
8. **Being overweight or obese**: Increased pressure on the abdominal tissues.

Additionally, certain risk factors can increase the likelihood of developing a hernia, including:

1. **Premature birth or low birth weight**
2. **Older age**
3. **Chronic coughing (due to repeated abdominal pressure)**
4. **Cystic fibrosis**
5. **Smoking (weakens connective tissues)**
6. **A personal or family history of hernias**"
HIV,"According to the provided trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of HIV are:

1. Sexual contact (vaginal or anal) without protection (condoms or medicine to treat or prevent HIV) with a person who has HIV.
2. Sharing needles or injecting illicit drugs with someone who has HIV.
3. Contact with infected blood.
4. Mother-to-child transmission during pregnancy, childbirth, or breastfeeding.

These are the primary ways HIV is transmitted, as stated by the credible sources."
hives,"The main causes of hives, according to the provided information, are:

1. **Allergic reactions to substances**: 
   - **Animal dander** (especially from cats)
   - **Insect bites**
   - **Medications**
   - **Pollen**
   - **Foods**: 
     - **Shellfish**
     - **Fish**
     - **Nuts**
     - **Eggs**
     - **Milk**

2. **Non-allergic factors** (also known as non-allergic urticaria):
   - **Stress**
   - **Tight clothes**
   - **Exercise**
   - **Illnesses** or **infections**
   - **Excessive exposure to hot or cold temperatures**
   - **Irritation due to excessive sweating**

Keep in mind that there might be individual differences, and sometimes the actual cause of hives cannot be determined."
kidney stones,"The main causes of kidney stones can be broken down into several categories: 

1. **Dietary Factors:**
   - High dietary levels of substances like oxalate, calcium, uric acid, and sodium
   - High animal protein intake
   - Low dietary calcium
   - High glucose levels

2. **Water and Dehydration:**
   - Dehydration or too little water in the body

3. **Medical Conditions:**
   - Obesity
   - Type 2 diabetes
   - Inflammatory bowel disease (abnormal inflammation of the intestinal walls)
   - Hyperparathyroidism (overactivity of the parathyroid glands)
   - Renal tubular acidosis (kidney dysfunction that leads to too much acid in the blood)
   - Recurrent urinary tract infections
   - Gout (abnormal inflammation in the joints caused by high levels of uric acid in the blood)

4. **Genetic and Family History Factors:**
   - Family history of kidney stones
   - Genetic changes that can increase the risk of developing kidney stones

5. **Medications and Other Factors:**
   - Taking certain medications like diuretics (triamterene), antiseizure drugs, and calcium-based antacids
   - Gastric bypass surgery
   - Intestinal bypass surgery
   - High doses of vitamin D
   - Metabolic disorders

Note that many cases of kidney stones have no specific cause identified"
obesity,"The main causes of obesity, according to the provided trusted sources, can be categorized into two types: controllable causes and uncontrollable causes.

**Controllable Causes:**

1. **Taking in more calories than burning**: Consuming more calories than the body uses through daily activities and exercise leads to obesity.
2. **Poor eating habits**: Eating more food than the body can use, drinking too much alcohol, and not getting enough exercise contribute to obesity.
3. **Lack of physical activity**: Reduced physical activity due to desk jobs and conveniences (e.g., remote controls, escalators) can lead to obesity.
4. **Food environment**: Being surrounded by fast food and high-calorie beverages can contribute to obesity.
5. **Eating habits learned as children**: The way we eat as children can affect our eating habits as adults.
6. **Habits and stress**: Stress, anxiety, feeling sad, depression, or not sleeping well can lead to weight gain.

**Uncontrollable Causes:**

1. **Genetics**: Genetic factors can affect how the body processes food into energy and stores fat.
2. **Age**: Growing older can lead to weight gain, as it can result in less muscle mass and a slower metabolism.
3. **Sleep**: Not sleeping enough can lead to hormonal changes, which can cause weight gain.
4. **Certain health conditions**: Conditions such as metabolic syndrome, PCOS, Prader-Willi syndrome, Cushing syndrome, hyp"
osteoarthritis,"The main causes of osteoarthritis are complex and multi-factorial. While the exact underlying cause is still not fully understood, based on the information provided:

1. **Genetics**: Multiple genetic variations, which subtly change gene activity (expression), contribute to the risk of developing osteoarthritis. These genetic changes affect the formation and maintenance of bone and cartilage.
2. **Gradual joint and cartilage damage**: Cartilage breakdown over time, leading to bones rubbing against each other, is a key characteristic of osteoarthritis.
3. **Interplay between genetics and environmental/lifestyle factors**: Genetic predispositions can be amplified by environmental and lifestyle factors, such as obesity, excessive joint stress, past injuries, age, and certain occupations.
4. **Failed attempts to repair joint damage**: The body's attempts to repair joint damage lead to changes in bone and connective tissue, causing further joint damage and inflammation.

Key risk factors that contribute to osteoarthritis development and progression include:

- Genetics (family history)
- Past injuries
- Age (50+ years)
- Being assigned female at birth
- Obesity/overweight
- Menopause
- Certain occupations (e.g., kneeling, climbing, heavy lifting)
- Other medical conditions affecting joint health

It's essential to note that osteoarthritis is a complex condition, and multiple factors may interact to increase the risk of developing the disorder."
osteoporosis,"The main causes of osteoporosis based on the information provided are:

1. **Insufficient calcium intake:** Not consuming enough calcium-rich foods to support bone formation and maintenance.
2. **Inadequate vitamin D:** Not getting enough vitamin D to aid in calcium absorption, which is essential for building and maintaining strong bones.
3. **Body's inability to absorb calcium and vitamin D:** This can occur after gastric bypass surgery or due to specific medical conditions, affecting the body's ability to use these essential minerals.
4. **Aging:** As people age, their bodies naturally reabsorb more calcium and phosphate from bones, leading to bone loss and weakening.
5. **Hormonal changes:**
	* Decreased estrogen levels in women after menopause.
	* Decreased testosterone levels in aging men.
6. **Chronic inflammatory conditions:** Such as Crohn's disease, rheumatoid arthritis, and other inflammatory conditions that contribute to bone loss.
7. **Prolonged bed rest:** Causing children's bones to be affected more significantly, but not exclusive to this age group.
8. **Certain medications:**
	* Seizure drugs.
	* Hormone therapies for prostate or breast cancer.
	* Long-term use of steroids (over three months).
These causes of osteoporosis can lead to bone loss, brittle and fragile bones, and increased risk of fractures."
Parkinson's disease,"According to the information provided, the main factors that seem to play a role in the development of Parkinson's disease are:

1. **Genes**: Specific genetic changes are linked to Parkinson's disease, although they are rare unless many family members have had the disease.
2. **Environmental factors**: Exposure to certain toxins or other environmental factors may increase the risk of Parkinson's disease, such as:
	* MPTP (a substance found in some illegal drugs)
	* Pesticides
	* Contaminated well water used for drinking
3. **Unknown or unconfirmed factors**:
	* Viruses: Some scientists believe that viruses may trigger Parkinson's disease.
	* Head injuries
	* Geographic location (higher prevalence in white people compared to Black or Asian people)
4. **Altered cellular processes**:
	* Changes to mitochondria (powerhouse compartments inside cells that create most of the body's energy)
	* Presence of Lewy bodies (clumps of proteins in the brain associated with Parkinson's disease)
	* Abnormal alpha-synuclein protein found within Lewy bodies

It is essential to note that the exact cause of Parkinson's disease is still unknown, and researchers continue to study the various factors that contribute to the development of the disease."
psoriatic arthritis,"Based on the information provided from MayoClinic, MedlinePlus, and Healthline, the main causes of psoriatic arthritis are:

1. **Genetic factors:** Many people with psoriatic arthritis have a family history of either psoriasis or psoriatic arthritis. Certain genetic markers, such as changes in the human leukocyte antigen (HLA) complex, have been identified as risk factors.

2. **Environmental triggers:** Physical trauma, viral or bacterial infections, extreme stress, or injury may trigger psoriatic arthritis in people with an inherited tendency.

While the exact cause of psoriatic arthritis is still unknown, a combination of genetic and environmental factors seems to play a role in triggering the disease."
cirrhosis,"Based on the provided information from MayoClinic, MedlinePlus, and Healthline, the main causes of cirrhosis can be categorized into three groups:

**Most Common Causes:**

1. Hepatitis B or C infection
2. Alcohol overuse (long-term)
3. Nonalcoholic fatty liver disease (NAFLD) with metabolic associated steatotic liver disease (MASLD) or metabolic associated steatohepatitis (MASH)

**Less Common Causes:**

1. Autoimmune hepatitis (AH)
2. Bile duct disorders
3. Some medicines
4. Liver diseases passed down in families

**Other Causes:**

1. Chronic metabolic conditions such as:
	* Hemochromatosis (excessive iron accumulation)
	* Cystic fibrosis
	* Alpha-1 antitrypsin deficiency
2. Genetic conditions:
	* Wilson's disease (copper buildup in the liver)
	* Galactosemia or glycogen storage disease
	* Alagille syndrome
3. Infections:
	* Syphilis or brucellosis
4. Other conditions:
	* Primary biliary cholangitis
	* Primary sclerosing cholangitis
	* Biliary atresia (malformed bile ducts)

Note that some sources may group these causes differently or provide additional information, but these categories represent the main causes of cirrhosis based on the provided information."
delirium,"Based on the provided information from MayoClinic, MedlinePlus, and Healthline, the main causes of delirium can be categorized into the following groups:

1. **Physical illnesses and conditions:**
	* Stroke
	* Heart attack
	* Worsening lung or liver disease
	* Injury from a fall
	* Urinary tract infection
	* Pneumonia
	* The flu (influenza)
	* COVID-19 (especially in older adults)
	* Acute illness
	* Infections (such as meningitis)
	* Worsening symptoms of a long-term (chronic) illness
	* Dehydration
2. **Medications and medication side effects:**
	* Certain medicines (e.g., pain, sleep problems, mood disorders, allergies, asthma, swelling, and Parkinson's disease)
	* Medication overdose or withdrawal
	* Sedatives
	* Blood pressure medications
	* Sleeping pills
	* Pain relievers
	* Electrolyte or other body chemical disturbances
3. **Other factors:**
	* Exposure to toxins (e.g., carbon monoxide, cyanide, or other poisons)
	* General anesthesia and surgery
	* Autoimmune disease
	* Lack of sleep
	* Severe emotional distress
	* Pain
	* Metabolic issues (e.g., low blood sugar or an electrolyte imbalance)
	* Blockage of arteries"
epilepsy,"The main causes of epilepsy can be summarized into several categories:

1. **Unknown cause**: In about half of people with epilepsy, the cause cannot be determined.

2. **Genetic influence**: Some people may have a genetic predisposition to epilepsy, which can be hereditary or caused by spontaneous genetic mutations.

3. **Head trauma**: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.

4. **Brain-related factors**:
	* Brain tumors and abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy.
	* Strokes are a leading cause of epilepsy in adults over 35.

5. **Infections**: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.

6. **Prenatal injury**: Brain damage in the developing fetus, caused by maternal infections, poor nutrition, or oxygen deprivation, can lead to epilepsy or cerebral palsy.

7. **Developmental conditions**: Epilepsy often occurs alongside developmental disorders, such as:
	* Autism
	* Attention-deficit/hyperactivity disorder (ADHD)
	* Alzheimer's disease
	* Other developmental conditions and neurological diseases

8. **Seizure triggers**: While not a direct cause of epilepsy, triggers such as:
	* Alcohol consumption
	* Flashing lights
	* Illicit drug use
	* Missing"
heart failure,"Based on the provided information from MayoClinic, MedlinePlus, and Healthline, the main causes of heart failure are:

1. **Coronary artery disease (CAD)**: The buildup of fatty deposits in the arteries, reducing blood flow and oxygen to the heart, leading to heart muscle weakening or damage.
2. **High blood pressure (hypertension)**: The heart has to work harder to pump blood, leading to muscle stiffening or weakening.
3. **Heart attack**: Damage to the heart muscle from a blocked artery, reducing its pumping ability.
4. **Heart valve disease**: Abnormalities in the heart valves, forcing the heart to work harder to pump blood.
5. **Infections**: Such as myocarditis (virus or bacterial infection), which can weaken the heart muscle.
6. **Congenital heart defects**: Heart problems present at birth, requiring the heart to work harder to pump blood.
7. **Arrhythmias**: Irregular heart rhythms, which can lead to sudden changes in heart function or muscle performance.
8. **Inherited heart disease**: Conditions passed down from parents that can lead to heart muscle weakening or damage.
9. **Diseases that can contribute to heart failure**: Such as diabetes, HIV infection, an overactive or underactive thyroid, or a buildup of iron or protein.

These conditions can lead to the heart muscle becoming weak or stiff, reducing its ability to pump blood effectively, and resulting in heart failure."
peptic ulcer,"The main causes of peptic ulcers are:

1. **Helicobacter pylori (H. pylori) infection**: A bacteria that lives in the mucous layer of the stomach and small intestine, which can cause inflammation and lead to an ulcer.
2. **Regular use of certain pain relievers**: Taking aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) over time can irritate or inflame the lining of the stomach and small intestine.
3. **Other factors that increase risk**: Drinking too much alcohol, smoking, being very ill, radiation treatments, stress, and Zollinger-Ellison syndrome (a rare condition that causes the stomach to produce too much acid).

These causes contribute to the breakdown of the protective mucous layer in the digestive tract, leading to peptic ulcers."
